,task,seed,algorithm,K,num_atoms,num_contrastive_parameters,gamma,extra_theta_factor,hidden_features,num_blocks,AVG_LOG_RATIO,RT,C2ST_Z-01,MMD-01,MEDDIST-01,NLTP-01,C2ST_Z-02,MMD-02,MEDDIST-02,NLTP-02,C2ST_Z-03,MMD-03,MEDDIST-03,NLTP-03,C2ST_Z-04,MMD-04,MEDDIST-04,NLTP-04,C2ST_Z-05,MMD-05,MEDDIST-05,NLTP-05,C2ST_Z-06,MMD-06,MEDDIST-06,NLTP-06,C2ST_Z-07,MMD-07,MEDDIST-07,NLTP-07,C2ST_Z-08,MMD-08,MEDDIST-08,NLTP-08,C2ST_Z-09,MMD-09,MEDDIST-09,NLTP-09,C2ST_Z-10,MMD-10,MEDDIST-10,NLTP-10,NLTP,num_simulations_simulator,path,folder,reuse
179,gaussian_mixture,4165689198,CNRE,199,199,200,0.01,0,128,3,11.977616,95.12247721354167,0.7207,0.06588125,0.6207968,,0.75285,0.07576382,0.25216073,,0.72825,0.07607508,0.28289542,,0.72165,0.07430816,0.61873806,,0.71345,0.072191834,0.4234166,,0.72555,0.07729566,0.61988544,,0.72225,0.07735896,0.22217515,,0.711,0.07412326,0.98389417,,0.72885,0.07744658,0.8164703,,0.74495,0.06559789,0.8467729,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-33/142,142,False
180,gaussian_mixture,4187060914,CNRE,149,149,150,0.1,0,128,3,12.237535,74.836669921875,0.68975,0.059816003,0.4278532,,0.7727,0.08222711,0.2634688,,0.7348,0.07857895,0.6063472,,0.72395,0.07525492,0.37937653,,0.78715,0.06675613,0.51624525,,0.7287,0.07739091,0.82688344,,0.7693,0.08213031,0.31354997,,0.7216,0.0767827,0.27968502,,0.73445,0.078995466,0.61644816,,0.73045,0.060333133,0.6383887,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-33/135,135,False
181,gaussian_mixture,114610615,CNRE,99,99,100,100.0,0,128,3,30.111916,53.40484619140625,0.7991,0.09657884,0.71525145,,0.74765,0.06695807,0.62650824,,0.77465,0.0822494,0.33189258,,0.75805,0.078730345,0.6206084,,0.7319,0.07259059,0.42233554,,0.71825,0.074457884,0.83535427,,0.7757,0.08065426,0.3749612,,0.70375,0.07268095,0.819409,,0.74725,0.07829368,0.33347312,,0.72145,0.050096273,1.0034444,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-33/126,126,False
182,slcp,3551043768,CNRE,199,199,200,0.1,0,128,3,9.53945,95.91311848958334,0.9487,0.12897336,20.732883,,0.88085,0.15175784,22.599384,,0.86165,0.07651746,26.986053,,0.9355,0.07427108,3.0450807,,0.80675,0.050266027,23.921867,,0.76785,0.010848999,10.487535,,0.9734,0.036077857,30.071354,,0.92655,0.031877995,23.859135,,0.8208,0.02698803,9.983089,,0.8878,0.043281913,1.7949955,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-33/93,93,False
183,two_moons,2083449919,CNRE,149,149,150,100.0,0,128,3,12.750347,71.22120768229166,0.54215,0.0004323721,0.09020629,,0.53435,0.00070619583,0.08991843,,0.59785,0.00046920776,0.08923325,,0.56675,0.00051677227,0.08977464,,0.58675,0.001614809,0.093071565,,0.55855,0.0009660721,0.09026914,,0.65665,0.0021067858,0.09069574,,0.63925,0.0008919239,0.08875525,,0.53995,0.00077700615,0.089984104,,0.623,0.0023226738,0.092174985,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-33/36,36,False
184,slcp,4152856541,CNRE,149,149,150,0.1,0,128,3,9.127598,76.50130208333333,0.9462,0.030420303,18.910898,,0.86195,0.04413843,23.145418,,0.8301,0.023859262,25.515041,,0.9235,0.08640218,3.0992575,,0.83135,0.052052975,25.111092,,0.80525,0.04396069,11.383544,,0.9403,0.026847005,29.3537,,0.934,0.042387128,25.28755,,0.8359,0.025649428,10.364727,,0.88005,0.060364783,2.2156844,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-33/87,87,False
185,slcp,940954669,CNRE,199,199,200,1.0,0,128,3,11.13793,95.45944010416666,0.9237,0.039331317,18.878809,,0.8752,0.09329009,23.554476,,0.85945,0.07354438,25.71653,,0.9255,0.017066598,3.3407106,,0.84785,0.14459395,25.478052,,0.80505,0.04951608,12.2530155,,0.9673,0.16010702,29.174744,,0.9429,0.19074273,25.36485,,0.83605,0.0070830584,10.8467045,,0.92415,0.11331332,1.7315001,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-33/92,92,False
186,slcp,2883518023,CNRE,24,24,25,100.0,0,128,3,10.774605,22.363326009114584,0.907,0.013314128,19.625542,,0.8132,0.0105679035,21.830202,,0.76535,0.045037866,26.988394,,0.9196,0.096838,3.0674496,,0.8094,0.106565356,24.024586,,0.75985,0.034028053,10.759254,,0.967,0.15924013,29.947136,,0.9232,0.002533555,24.356403,,0.8075,0.015654802,8.782745,,0.9191,0.11787516,1.6630368,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-33/60,60,False
187,slcp,782650600,CNRE,9,9,10,0.001,0,128,3,7.3024783,16.172000122070312,0.85625,0.041297555,19.560356,,0.80745,0.019796968,23.789509,,0.80205,0.015802264,25.846714,,0.92135,0.039225698,3.194501,,0.7814,0.031047344,23.738712,,0.72155,0.01977384,11.023264,,0.92125,0.03744936,30.008966,,0.89635,0.008007407,24.561008,,0.7487,0.0051823854,9.597601,,0.8154,0.027412057,1.8701999,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-33/59,59,False
188,slcp,2381343836,CNRE,199,199,200,10.0,0,128,3,15.581297,99.88837890625,0.93735,0.058456182,18.982227,,0.8906,0.080877185,24.037407,,0.90505,0.054525018,25.4048,,0.93985,0.2578721,3.18513,,0.84505,0.050388575,24.022465,,0.81355,0.05492127,11.670463,,0.9707,0.18287551,28.903744,,0.9291,0.09413767,24.764,,0.8193,0.021720529,9.555342,,0.94155,0.12717843,1.6033163,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-33/91,91,False
189,gaussian_mixture,1721067974,CNRE,9,9,10,0.001,0,128,3,9.107857,14.290982055664063,0.75565,0.05607748,0.5435871,,0.74815,0.07177961,0.99876463,,0.73235,0.075691104,0.44078904,,0.71745,0.0650754,0.8303083,,0.76515,0.0670985,0.3194691,,0.7295,0.07098043,0.34632614,,0.7257,0.070293784,0.42913586,,0.71385,0.067697644,0.2960283,,0.76675,0.08197355,0.60971886,,0.76085,0.05149257,1.0066441,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-33/107,107,False
190,slcp,653712524,CNRE,74,74,75,0.01,0,128,3,9.323036,45.773295084635414,0.89765,0.119711995,19.46193,,0.81075,0.007764697,23.162567,,0.8272,0.11118984,26.36005,,0.9166,0.13588,3.3828688,,0.8428,0.038688064,24.214108,,0.7655,0.0081112385,11.288,,0.94095,0.0788604,29.805012,,0.94525,0.045821905,25.016417,,0.82075,0.037409663,9.82761,,0.7988,0.027825713,2.2257318,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-33/76,76,False
191,slcp,3410737386,CNRE,99,99,100,0.01,0,128,3,8.270459,52.95536702473958,0.91165,0.021875024,20.214308,,0.8376,0.023252726,23.64061,,0.79195,0.013936758,25.365292,,0.9033,0.07256913,3.5437589,,0.84825,0.06887448,23.065756,,0.7904,0.047069073,11.267221,,0.9559,0.011169076,29.505081,,0.91395,0.02164936,25.861,,0.81435,0.028901458,10.924035,,0.8859,0.04079455,1.9149634,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-33/82,82,False
192,two_moons,2357925266,CNRE,9,9,10,100.0,0,128,3,6.674095,13.639434814453125,0.60905,0.00022101402,0.09101659,,0.57735,-2.9563904e-05,0.09044469,,0.616,0.00024461746,0.088514075,,0.60965,0.0019721985,0.09055135,,0.64375,-3.540516e-05,0.09176521,,0.61545,3.027916e-05,0.08809509,,0.6667,0.0017813444,0.09089014,,0.65375,0.00066292286,0.088575825,,0.5757,0.00043541193,0.08875163,,0.6173,0.0019056797,0.08960287,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-33/6,6,False
193,slcp,3316262960,CNRE,149,149,150,1.0,0,128,3,10.466391,75.83114420572916,0.9277,0.050284505,19.396694,,0.8976,0.20396459,23.91903,,0.79965,0.04974675,26.422874,,0.93525,0.15736121,2.7145414,,0.8417,0.09763217,25.092793,,0.83195,0.08429289,10.817387,,0.96235,0.18718457,30.177591,,0.92425,0.06491053,23.831123,,0.86115,0.049064636,9.7215,,0.8934,0.15977877,2.015204,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-33/86,86,False
194,two_moons,2085493158,CNRE,99,99,100,100.0,0,128,3,11.377002,50.10697835286458,0.56855,0.00020694733,0.09433626,,0.5509,-3.20673e-05,0.09300734,,0.60205,-1.3232231e-05,0.09386313,,0.52905,0.00025624037,0.093199454,,0.60745,0.000308156,0.09004314,,0.57825,-3.385544e-05,0.09420897,,0.62455,0.00014734268,0.09276557,,0.61165,0.000118374825,0.09124649,,0.5802,0.00023716688,0.094039515,,0.6265,0.0024721622,0.08994624,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-33/30,30,False
195,two_moons,2669107537,CNRE,99,99,100,10.0,0,128,3,8.874779,49.87932535807292,0.54,0.0021350384,0.08955996,,0.59935,0.0020842552,0.09056017,,0.61885,0.0007965565,0.092123,,0.57545,0.00095397234,0.090057135,,0.59875,0.005666256,0.09486634,,0.5257,0.0009900331,0.09242985,,0.6286,2.193451e-05,0.0892289,,0.61085,0.00015282631,0.08987627,,0.5968,0.003008902,0.091040015,,0.6367,0.00055229664,0.090803534,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-33/31,31,False
196,gaussian_mixture,2872790110,CNRE,49,49,50,0.01,0,128,3,10.903774,31.733966064453124,0.74155,0.05212021,0.38752237,,0.7346,0.07983792,0.83678806,,0.7482,0.077907205,0.60653996,,0.72945,0.073563814,0.8293263,,0.71985,0.06777513,0.30253035,,0.72645,0.07578039,0.6180575,,0.72515,0.077388406,0.27610093,,0.71615,0.07321608,0.63044554,,0.7229,0.0755223,0.25971186,,0.8221,0.113467455,0.4326574,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-33/118,118,False
197,two_moons,1805462490,CNRE,49,49,50,10.0,0,128,3,8.471782,29.955190022786457,0.5848,0.0004286766,0.088804245,,0.55665,3.0636787e-05,0.090397924,,0.6038,0.00051784515,0.088963434,,0.58485,0.003060639,0.090152025,,0.6547,7.557869e-05,0.09071038,,0.55505,0.0010015965,0.089008145,,0.61815,0.00019609928,0.08765658,,0.61155,0.0018422604,0.08950731,,0.55965,0.001096487,0.08789028,,0.6068,0.00049591064,0.09001675,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-33/19,19,False
198,two_moons,1057998657,CNRE,1,1,2,1.0,0,128,3,5.315086,11.550820922851562,0.55495,0.004712105,0.08477771,,0.53725,0.0012159348,0.08678664,,0.59525,0.006982565,0.0889945,,0.60765,0.014347374,0.08751255,,0.53765,0.0015026331,0.09143161,,0.59215,0.011358023,0.08631017,,0.68725,0.023179054,0.08827633,,0.66835,0.020329475,0.08930589,,0.55585,0.0087412,0.08642338,,0.62435,0.0016177893,0.08630234,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-33/2,2,False
199,slcp,3092444598,CNRE,9,9,10,100.0,0,128,3,8.010822,16.016835530598957,0.90295,0.03601396,19.817478,,0.89845,0.12899971,24.081455,,0.7596,0.0328238,26.736164,,0.93515,0.08760899,3.2214565,,0.8159,0.014033198,24.766705,,0.77225,0.007998109,11.807525,,0.97925,0.10636079,29.308504,,0.95275,0.028258085,23.978046,,0.82115,0.013800144,10.185012,,0.86235,0.07134771,1.9527372,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-33/54,54,False
200,slcp,757339154,CNRE,1,1,2,100.0,0,128,3,3.4505606,44.631099446614584,0.9578,0.063586354,20.308584,,0.93195,0.09429884,23.01471,,0.89655,0.02784288,25.584713,,0.9709,0.17783433,3.5711863,,0.86465,0.03792107,23.14605,,0.93925,0.044714928,10.266144,,0.9806,0.17479956,31.040987,,0.95995,0.055210352,26.135975,,0.9295,0.13370025,9.215626,,0.93645,0.24387026,2.700326,,,22528.0,/home/ben/sci/cnre/infinite/bench/23-21-33/48,48,False
