,task,seed,algorithm,K,num_atoms,num_contrastive_parameters,gamma,extra_theta_factor,hidden_features,num_blocks,AVG_LOG_RATIO,RT,C2ST_Z-01,MMD-01,MEDDIST-01,NLTP-01,C2ST_Z-02,MMD-02,MEDDIST-02,NLTP-02,C2ST_Z-03,MMD-03,MEDDIST-03,NLTP-03,C2ST_Z-04,MMD-04,MEDDIST-04,NLTP-04,C2ST_Z-05,MMD-05,MEDDIST-05,NLTP-05,C2ST_Z-06,MMD-06,MEDDIST-06,NLTP-06,C2ST_Z-07,MMD-07,MEDDIST-07,NLTP-07,C2ST_Z-08,MMD-08,MEDDIST-08,NLTP-08,C2ST_Z-09,MMD-09,MEDDIST-09,NLTP-09,C2ST_Z-10,MMD-10,MEDDIST-10,NLTP-10,NLTP,num_simulations_simulator,path,folder,reuse
43,slcp,227053103,CNRE,149,149,150,0.01,0,128,3,4.6779537,70.286083984375,0.88945,0.037768602,19.925922,,0.79025,0.029845953,22.783596,,0.74385,0.010163784,25.718147,,0.90905,0.04457915,3.4516373,,0.78045,0.021793127,23.750595,,0.73835,0.015321493,12.175507,,0.9467,0.060843468,29.98318,,0.923,0.02711451,24.27558,,0.76385,0.01185441,10.531277,,0.823,0.040367782,2.126426,,,22528.0,/home/ben/sci/fix-cnre/infinite/fixed-validation-loss/2024-06-28/11-26-30/40,40,False
44,slcp,2774544103,CNRE,149,149,150,100.0,0,128,3,5.0772276,73.57007649739583,0.9066,0.016435027,19.889885,,0.86895,0.106208205,22.935024,,0.8163,0.016963601,26.0901,,0.9262,0.048123002,3.4685717,,0.88395,0.13165545,22.695353,,0.8027,0.06348753,11.871651,,0.9721,0.16726708,29.470453,,0.95065,0.0724293,23.218533,,0.8264,0.034221888,10.792995,,0.902,0.07918686,2.1271703,,,22528.0,/home/ben/sci/fix-cnre/infinite/fixed-validation-loss/2024-06-28/11-26-30/36,36,False
45,slcp,3695035669,CNRE,9,9,10,100.0,0,128,3,5.048337,20.329632568359376,0.91245,0.040594697,20.52267,,0.86265,0.025935411,22.782951,,0.7458,0.010032058,26.3892,,0.92535,0.08914167,3.302824,,0.8317,0.039747715,23.830433,,0.80855,0.00798142,10.9796505,,0.95975,0.06854117,29.953,,0.9378,0.018347383,24.283268,,0.82145,0.035098553,10.394544,,0.89625,0.13725966,1.8548174,,,22528.0,/home/ben/sci/fix-cnre/infinite/fixed-validation-loss/2024-06-28/11-26-30/6,6,False
46,slcp,748710002,CNRE,99,99,100,100.0,0,128,3,4.657774,53.0150634765625,0.9396,0.050100446,20.30701,,0.89525,0.13774526,23.312002,,0.88015,0.025501251,27.49737,,0.92315,0.038104773,3.5207863,,0.79785,0.026159763,24.31539,,0.82865,0.024739027,12.443108,,0.9605,0.15081882,29.693163,,0.92625,0.11254716,23.887686,,0.8602,0.048846483,9.567538,,0.895,0.052934885,2.1173565,,,22528.0,/home/ben/sci/fix-cnre/infinite/fixed-validation-loss/2024-06-28/11-26-30/30,30,False
47,slcp,3622120445,CNRE,99,99,100,10.0,0,128,3,4.944811,60.1282958984375,0.9269,0.0846045,20.631092,,0.869,0.05319357,23.110107,,0.9118,0.101071,26.169209,,0.95575,0.3504256,2.9412355,,0.86375,0.155195,22.2236,,0.8493,0.059168458,11.576485,,0.96475,0.14746642,31.06309,,0.96405,0.03787601,24.580212,,0.8588,0.105834365,12.825343,,0.9034,0.16504753,1.9343216,,,22528.0,/home/ben/sci/fix-cnre/infinite/fixed-validation-loss/2024-06-28/11-26-30/31,31,False
48,slcp,2046521222,CNRE,49,49,50,10.0,0,128,3,5.2324343,38.498881022135414,0.8978,0.0024110079,18.675156,,0.8666,0.09145987,23.035282,,0.8336,0.093792796,26.805292,,0.93145,0.064308345,3.6240964,,0.8081,0.051375985,23.73756,,0.7771,0.014874935,11.560554,,0.98065,0.02512753,28.759653,,0.9387,0.036994696,25.205662,,0.83315,0.025997996,9.614965,,0.8776,0.06877148,2.2935047,,,22528.0,/home/ben/sci/fix-cnre/infinite/fixed-validation-loss/2024-06-28/11-26-30/19,19,False
49,slcp,2188341052,CNRE,1,1,2,1.0,0,128,3,4.3226566,18.009039306640624,0.92245,0.029496312,19.454098,,0.88205,0.053940296,23.25446,,0.75255,0.030640125,26.070892,,0.9565,0.04392135,2.6138067,,0.8167,0.043022394,23.967089,,0.8202,0.03241527,11.297781,,0.96115,0.06406605,29.358212,,0.92425,0.03144729,24.752705,,0.86545,0.07001507,9.618259,,0.85755,0.05671686,2.168845,,,22528.0,/home/ben/sci/fix-cnre/infinite/fixed-validation-loss/2024-06-28/11-26-30/2,2,False
50,slcp,3155229778,CNRE,149,149,150,1.0,0,128,3,4.7365465,72.0790771484375,0.8928,0.015474558,19.777756,,0.81645,0.027374625,23.148542,,0.77,0.034947276,26.604801,,0.9269,0.09709561,3.4830647,,0.7651,0.022784948,22.77842,,0.75375,0.013492584,11.1965685,,0.9496,0.02843225,29.73526,,0.9478,0.027554154,24.80304,,0.8118,0.016877413,11.1879425,,0.8938,0.059420705,2.0301557,,,22528.0,/home/ben/sci/fix-cnre/infinite/fixed-validation-loss/2024-06-28/11-26-30/38,38,False
51,slcp,1939065734,CNRE,149,149,150,0.001,0,128,3,4.61835,72.66538899739584,0.87455,0.041905284,19.622952,,0.7551,0.0055903196,22.838772,,0.7513,0.044989705,26.46713,,0.9083,0.13144886,3.4771113,,0.7816,0.0215621,24.268242,,0.73945,0.0074037313,11.192854,,0.93695,0.033507943,29.429356,,0.8842,0.056061864,23.976826,,0.79705,0.019009829,10.0273285,,0.87625,0.03881681,2.3229468,,,22528.0,/home/ben/sci/fix-cnre/infinite/fixed-validation-loss/2024-06-28/11-26-30/41,41,False
52,slcp,550054126,CNRE,199,199,200,0.1,0,128,3,4.756678,94.76722819010416,0.8785,0.021298409,19.816528,,0.81745,0.030412436,23.320738,,0.73195,0.01888752,25.570358,,0.91085,0.05483985,3.4510217,,0.8184,0.05415082,23.961498,,0.7388,0.0062992573,11.100103,,0.9504,0.01969421,29.480335,,0.9064,0.027766466,25.407078,,0.7803,0.017151356,10.281822,,0.8139,0.03039813,2.1325629,,,22528.0,/home/ben/sci/fix-cnre/infinite/fixed-validation-loss/2024-06-28/11-26-30/45,45,False
53,slcp,42115368,CNRE,199,199,200,1.0,0,128,3,4.88334,90.23168131510417,0.90845,0.018105626,19.665417,,0.84515,0.08593631,22.821987,,0.78265,0.016151786,26.258034,,0.9321,0.25355923,3.5239997,,0.82265,0.10634947,23.738712,,0.80295,0.0046344995,10.371741,,0.96955,0.046617508,29.696243,,0.9392,0.023069263,24.087894,,0.84205,0.039826512,11.14937,,0.90255,0.044870257,1.7740793,,,22528.0,/home/ben/sci/fix-cnre/infinite/fixed-validation-loss/2024-06-28/11-26-30/44,44,False
54,slcp,2814756424,CNRE,199,199,200,10.0,0,128,3,4.4224916,91.67986653645833,0.93425,0.081489444,20.503052,,0.8897,0.127231,23.167084,,0.8642,0.059190273,25.822235,,0.9365,0.04815936,2.7908974,,0.8207,0.02010262,24.12014,,0.797,0.030257225,11.749437,,0.9598,0.05551505,30.043385,,0.92445,0.15345514,24.345493,,0.85425,0.06320679,9.714561,,0.90605,0.08874041,1.7135868,,,22528.0,/home/ben/sci/fix-cnre/infinite/fixed-validation-loss/2024-06-28/11-26-30/43,43,False
55,slcp,3142172659,CNRE,199,199,200,0.01,0,128,3,5.12671,89.84541829427083,0.85265,0.017673135,20.053423,,0.8118,0.049868345,22.903088,,0.6628,0.0054317713,25.955807,,0.9075,0.015808225,3.1239233,,0.7896,0.02484572,24.067513,,0.7393,0.021061897,11.401342,,0.9159,0.06153643,29.054823,,0.89635,0.030453324,25.54749,,0.7725,0.033646703,10.351162,,0.8491,0.055931687,1.8238986,,,22528.0,/home/ben/sci/fix-cnre/infinite/fixed-validation-loss/2024-06-28/11-26-30/46,46,False
