,task,num_observation,algorithm,num_contrastive_parameters,gamma,num_blocks
149,slcp,2,CNRE,75,0.1,3
150,slcp,2,CNRE,75,1.0,2
151,slcp,2,CNRE,75,1.0,3
152,slcp,2,CNRE,75,10.0,2
153,slcp,2,CNRE,75,10.0,3
154,slcp,2,CNRE,75,100.0,2
155,slcp,2,CNRE,75,100.0,3
156,slcp,2,CNRE,100,0.001,2
157,slcp,2,CNRE,100,0.001,3
158,slcp,2,CNRE,100,0.01,2
159,slcp,2,CNRE,100,0.01,3
160,slcp,2,CNRE,100,0.1,2
161,slcp,2,CNRE,100,0.1,3
162,slcp,2,CNRE,100,1.0,2
163,slcp,2,CNRE,100,1.0,3
164,slcp,2,CNRE,100,10.0,2
165,slcp,2,CNRE,100,10.0,3
166,slcp,2,CNRE,100,100.0,2
167,slcp,2,CNRE,100,100.0,3
168,slcp,2,CNRE,150,0.001,2
169,slcp,2,CNRE,150,0.001,3
170,slcp,2,CNRE,150,0.01,2
171,slcp,2,CNRE,150,0.01,3
172,slcp,2,CNRE,150,0.1,2
173,slcp,2,CNRE,150,0.1,3
174,slcp,2,CNRE,150,1.0,2
175,slcp,2,CNRE,150,1.0,3
176,slcp,2,CNRE,150,10.0,2
177,slcp,2,CNRE,150,10.0,3
178,slcp,2,CNRE,150,100.0,2
179,slcp,2,CNRE,150,100.0,3
180,slcp,2,CNRE,200,0.001,2
181,slcp,2,CNRE,200,0.001,3
182,slcp,2,CNRE,200,0.01,2
183,slcp,2,CNRE,200,0.01,3
184,slcp,2,CNRE,200,0.1,2
185,slcp,2,CNRE,200,0.1,3
186,slcp,2,CNRE,200,1.0,2
187,slcp,2,CNRE,200,1.0,3
188,slcp,2,CNRE,200,10.0,2
189,slcp,2,CNRE,200,10.0,3
190,slcp,2,CNRE,200,100.0,2
191,slcp,2,CNRE,200,100.0,3
192,slcp,3,CNRE,2,0.001,2
193,slcp,3,CNRE,2,0.001,3
194,slcp,3,CNRE,2,0.01,2
195,slcp,3,CNRE,2,0.01,3
196,slcp,3,CNRE,2,0.1,2
197,slcp,3,CNRE,2,0.1,3
198,slcp,3,CNRE,2,1.0,2
199,slcp,3,CNRE,2,1.0,3
200,slcp,3,CNRE,2,10.0,2
201,slcp,3,CNRE,2,10.0,3
202,slcp,3,CNRE,2,100.0,2
203,slcp,3,CNRE,2,100.0,3
204,slcp,3,CNRE,10,0.001,2
205,slcp,3,CNRE,10,0.001,3
206,slcp,3,CNRE,10,0.01,2
207,slcp,3,CNRE,10,0.01,3
208,slcp,3,CNRE,10,0.1,2
209,slcp,3,CNRE,10,0.1,3
210,slcp,3,CNRE,10,1.0,2
211,slcp,3,CNRE,10,1.0,3
212,slcp,3,CNRE,10,10.0,2
213,slcp,3,CNRE,10,10.0,3
214,slcp,3,CNRE,10,100.0,2
215,slcp,3,CNRE,10,100.0,3
216,slcp,3,CNRE,25,0.001,2
217,slcp,3,CNRE,25,0.001,3
218,slcp,3,CNRE,25,0.01,2
219,slcp,3,CNRE,25,0.01,3
220,slcp,3,CNRE,25,0.1,2
221,slcp,3,CNRE,25,0.1,3
222,slcp,3,CNRE,25,1.0,2
223,slcp,3,CNRE,25,1.0,3
224,slcp,3,CNRE,25,10.0,2
225,slcp,3,CNRE,25,10.0,3
226,slcp,3,CNRE,25,100.0,2
227,slcp,3,CNRE,25,100.0,3
228,slcp,3,CNRE,50,0.001,2
229,slcp,3,CNRE,50,0.001,3
230,slcp,3,CNRE,50,0.01,2
231,slcp,3,CNRE,50,0.01,3
232,slcp,3,CNRE,50,0.1,2
233,slcp,3,CNRE,50,0.1,3
234,slcp,3,CNRE,50,1.0,2
235,slcp,3,CNRE,50,1.0,3
236,slcp,3,CNRE,50,10.0,2
237,slcp,3,CNRE,50,10.0,3
238,slcp,3,CNRE,50,100.0,2
239,slcp,3,CNRE,50,100.0,3
240,slcp,3,CNRE,75,0.001,2
241,slcp,3,CNRE,75,0.001,3
242,slcp,3,CNRE,75,0.01,2
243,slcp,3,CNRE,75,0.01,3
244,slcp,3,CNRE,75,0.1,2
245,slcp,3,CNRE,75,0.1,3
246,slcp,3,CNRE,75,1.0,2
247,slcp,3,CNRE,75,1.0,3
248,slcp,3,CNRE,75,10.0,2
249,slcp,3,CNRE,75,10.0,3
250,slcp,3,CNRE,75,100.0,2
251,slcp,3,CNRE,75,100.0,3
252,slcp,3,CNRE,100,0.001,2
253,slcp,3,CNRE,100,0.001,3
254,slcp,3,CNRE,100,0.01,2
255,slcp,3,CNRE,100,0.01,3
256,slcp,3,CNRE,100,0.1,2
257,slcp,3,CNRE,100,0.1,3
258,slcp,3,CNRE,100,1.0,2
259,slcp,3,CNRE,100,1.0,3
260,slcp,3,CNRE,100,10.0,2
261,slcp,3,CNRE,100,10.0,3
262,slcp,3,CNRE,100,100.0,2
263,slcp,3,CNRE,100,100.0,3
264,slcp,3,CNRE,150,0.001,2
265,slcp,3,CNRE,150,0.001,3
266,slcp,3,CNRE,150,0.01,2
267,slcp,3,CNRE,150,0.01,3
268,slcp,3,CNRE,150,0.1,2
269,slcp,3,CNRE,150,0.1,3
270,slcp,3,CNRE,150,1.0,2
271,slcp,3,CNRE,150,1.0,3
272,slcp,3,CNRE,150,10.0,2
273,slcp,3,CNRE,150,10.0,3
274,slcp,3,CNRE,150,100.0,2
275,slcp,3,CNRE,150,100.0,3
276,slcp,3,CNRE,200,0.001,2
277,slcp,3,CNRE,200,0.001,3
278,slcp,3,CNRE,200,0.01,2
279,slcp,3,CNRE,200,0.01,3
280,slcp,3,CNRE,200,0.1,2
281,slcp,3,CNRE,200,0.1,3
282,slcp,3,CNRE,200,1.0,2
283,slcp,3,CNRE,200,1.0,3
284,slcp,3,CNRE,200,10.0,2
285,slcp,3,CNRE,200,10.0,3
286,slcp,3,CNRE,200,100.0,2
287,slcp,3,CNRE,200,100.0,3
288,slcp,4,CNRE,2,0.001,2
289,slcp,4,CNRE,2,0.001,3
290,slcp,4,CNRE,2,0.01,2
291,slcp,4,CNRE,2,0.01,3
292,slcp,4,CNRE,2,0.1,2
293,slcp,4,CNRE,2,0.1,3
294,slcp,4,CNRE,2,1.0,2
295,slcp,4,CNRE,2,1.0,3
296,slcp,4,CNRE,2,10.0,2
297,slcp,4,CNRE,2,10.0,3
298,slcp,4,CNRE,2,100.0,2
299,slcp,4,CNRE,2,100.0,3
300,slcp,4,CNRE,10,0.001,2
301,slcp,4,CNRE,10,0.001,3
302,slcp,4,CNRE,10,0.01,2
303,slcp,4,CNRE,10,0.01,3
304,slcp,4,CNRE,10,0.1,2
305,slcp,4,CNRE,10,0.1,3
306,slcp,4,CNRE,10,1.0,2
307,slcp,4,CNRE,10,1.0,3
308,slcp,4,CNRE,10,10.0,2
309,slcp,4,CNRE,10,10.0,3
310,slcp,4,CNRE,10,100.0,2
311,slcp,4,CNRE,10,100.0,3
312,slcp,4,CNRE,25,0.001,2
313,slcp,4,CNRE,25,0.001,3
314,slcp,4,CNRE,25,0.01,2
315,slcp,4,CNRE,25,0.01,3
316,slcp,4,CNRE,25,0.1,2
317,slcp,4,CNRE,25,0.1,3
318,slcp,4,CNRE,25,1.0,2
319,slcp,4,CNRE,25,1.0,3
320,slcp,4,CNRE,25,10.0,2
321,slcp,4,CNRE,25,10.0,3
322,slcp,4,CNRE,25,100.0,2
323,slcp,4,CNRE,25,100.0,3
324,slcp,4,CNRE,50,0.001,2
325,slcp,4,CNRE,50,0.001,3
326,slcp,4,CNRE,50,0.01,2
327,slcp,4,CNRE,50,0.01,3
328,slcp,4,CNRE,50,0.1,2
329,slcp,4,CNRE,50,0.1,3
330,slcp,4,CNRE,50,1.0,2
331,slcp,4,CNRE,50,1.0,3
332,slcp,4,CNRE,50,10.0,2
333,slcp,4,CNRE,50,10.0,3
334,slcp,4,CNRE,50,100.0,2
335,slcp,4,CNRE,50,100.0,3
336,slcp,4,CNRE,75,0.001,2
337,slcp,4,CNRE,75,0.001,3
338,slcp,4,CNRE,75,0.01,2
339,slcp,4,CNRE,75,0.01,3
340,slcp,4,CNRE,75,0.1,2
341,slcp,4,CNRE,75,0.1,3
342,slcp,4,CNRE,75,1.0,2
343,slcp,4,CNRE,75,1.0,3
344,slcp,4,CNRE,75,10.0,2
345,slcp,4,CNRE,75,10.0,3
346,slcp,4,CNRE,75,100.0,2
347,slcp,4,CNRE,75,100.0,3
348,slcp,4,CNRE,100,0.001,2
349,slcp,4,CNRE,100,0.001,3
350,slcp,4,CNRE,100,0.01,2
351,slcp,4,CNRE,100,0.01,3
352,slcp,4,CNRE,100,0.1,2
353,slcp,4,CNRE,100,0.1,3
354,slcp,4,CNRE,100,1.0,2
355,slcp,4,CNRE,100,1.0,3
356,slcp,4,CNRE,100,10.0,2
357,slcp,4,CNRE,100,10.0,3
358,slcp,4,CNRE,100,100.0,2
359,slcp,4,CNRE,100,100.0,3
360,slcp,4,CNRE,150,0.001,2
361,slcp,4,CNRE,150,0.001,3
362,slcp,4,CNRE,150,0.01,2
363,slcp,4,CNRE,150,0.01,3
364,slcp,4,CNRE,150,0.1,2
365,slcp,4,CNRE,150,0.1,3
366,slcp,4,CNRE,150,1.0,2
367,slcp,4,CNRE,150,1.0,3
368,slcp,4,CNRE,150,10.0,2
369,slcp,4,CNRE,150,10.0,3
370,slcp,4,CNRE,150,100.0,2
371,slcp,4,CNRE,150,100.0,3
372,slcp,4,CNRE,200,0.001,2
373,slcp,4,CNRE,200,0.001,3
374,slcp,4,CNRE,200,0.01,2
375,slcp,4,CNRE,200,0.01,3
376,slcp,4,CNRE,200,0.1,2
377,slcp,4,CNRE,200,0.1,3
378,slcp,4,CNRE,200,1.0,2
379,slcp,4,CNRE,200,1.0,3
380,slcp,4,CNRE,200,10.0,2
381,slcp,4,CNRE,200,10.0,3
382,slcp,4,CNRE,200,100.0,2
383,slcp,4,CNRE,200,100.0,3
384,slcp,5,CNRE,2,0.001,2
385,slcp,5,CNRE,2,0.001,3
386,slcp,5,CNRE,2,0.01,2
387,slcp,5,CNRE,2,0.01,3
388,slcp,5,CNRE,2,0.1,2
389,slcp,5,CNRE,2,0.1,3
390,slcp,5,CNRE,2,1.0,2
391,slcp,5,CNRE,2,1.0,3
392,slcp,5,CNRE,2,10.0,2
393,slcp,5,CNRE,2,10.0,3
394,slcp,5,CNRE,2,100.0,2
395,slcp,5,CNRE,2,100.0,3
396,slcp,5,CNRE,10,0.001,2
397,slcp,5,CNRE,10,0.001,3
398,slcp,5,CNRE,10,0.01,2
399,slcp,5,CNRE,10,0.01,3
400,slcp,5,CNRE,10,0.1,2
401,slcp,5,CNRE,10,0.1,3
402,slcp,5,CNRE,10,1.0,2
403,slcp,5,CNRE,10,1.0,3
404,slcp,5,CNRE,10,10.0,2
405,slcp,5,CNRE,10,10.0,3
406,slcp,5,CNRE,10,100.0,2
407,slcp,5,CNRE,10,100.0,3
408,slcp,5,CNRE,25,0.001,2
409,slcp,5,CNRE,25,0.001,3
410,slcp,5,CNRE,25,0.01,2
411,slcp,5,CNRE,25,0.01,3
412,slcp,5,CNRE,25,0.1,2
413,slcp,5,CNRE,25,0.1,3
414,slcp,5,CNRE,25,1.0,2
415,slcp,5,CNRE,25,1.0,3
416,slcp,5,CNRE,25,10.0,2
417,slcp,5,CNRE,25,10.0,3
418,slcp,5,CNRE,25,100.0,2
419,slcp,5,CNRE,25,100.0,3
420,slcp,5,CNRE,50,0.001,2
421,slcp,5,CNRE,50,0.001,3
422,slcp,5,CNRE,50,0.01,2
423,slcp,5,CNRE,50,0.01,3
424,slcp,5,CNRE,50,0.1,2
425,slcp,5,CNRE,50,0.1,3
426,slcp,5,CNRE,50,1.0,2
427,slcp,5,CNRE,50,1.0,3
428,slcp,5,CNRE,50,10.0,2
429,slcp,5,CNRE,50,10.0,3
430,slcp,5,CNRE,50,100.0,2
431,slcp,5,CNRE,50,100.0,3
432,slcp,5,CNRE,75,0.001,2
433,slcp,5,CNRE,75,0.001,3
434,slcp,5,CNRE,75,0.01,2
435,slcp,5,CNRE,75,0.01,3
436,slcp,5,CNRE,75,0.1,2
437,slcp,5,CNRE,75,0.1,3
438,slcp,5,CNRE,75,1.0,2
439,slcp,5,CNRE,75,1.0,3
440,slcp,5,CNRE,75,10.0,2
441,slcp,5,CNRE,75,10.0,3
442,slcp,5,CNRE,75,100.0,2
443,slcp,5,CNRE,75,100.0,3
444,slcp,5,CNRE,100,0.001,2
445,slcp,5,CNRE,100,0.001,3
446,slcp,5,CNRE,100,0.01,2
447,slcp,5,CNRE,100,0.01,3
448,slcp,5,CNRE,100,0.1,2
449,slcp,5,CNRE,100,0.1,3
450,slcp,5,CNRE,100,1.0,2
451,slcp,5,CNRE,100,1.0,3
452,slcp,5,CNRE,100,10.0,2
453,slcp,5,CNRE,100,10.0,3
454,slcp,5,CNRE,100,100.0,2
455,slcp,5,CNRE,100,100.0,3
456,slcp,5,CNRE,150,0.001,2
457,slcp,5,CNRE,150,0.001,3
458,slcp,5,CNRE,150,0.01,2
459,slcp,5,CNRE,150,0.01,3
460,slcp,5,CNRE,150,0.1,2
461,slcp,5,CNRE,150,0.1,3
462,slcp,5,CNRE,150,1.0,2
463,slcp,5,CNRE,150,1.0,3
464,slcp,5,CNRE,150,10.0,2
465,slcp,5,CNRE,150,10.0,3
466,slcp,5,CNRE,150,100.0,2
467,slcp,5,CNRE,150,100.0,3
468,slcp,5,CNRE,200,0.001,2
469,slcp,5,CNRE,200,0.001,3
470,slcp,5,CNRE,200,0.01,2
471,slcp,5,CNRE,200,0.01,3
472,slcp,5,CNRE,200,0.1,2
473,slcp,5,CNRE,200,0.1,3
474,slcp,5,CNRE,200,1.0,2
475,slcp,5,CNRE,200,1.0,3
476,slcp,5,CNRE,200,10.0,2
477,slcp,5,CNRE,200,10.0,3
478,slcp,5,CNRE,200,100.0,2
479,slcp,5,CNRE,200,100.0,3
480,slcp,6,CNRE,2,0.001,2
481,slcp,6,CNRE,2,0.001,3
482,slcp,6,CNRE,2,0.01,2
483,slcp,6,CNRE,2,0.01,3
484,slcp,6,CNRE,2,0.1,2
485,slcp,6,CNRE,2,0.1,3
486,slcp,6,CNRE,2,1.0,2
487,slcp,6,CNRE,2,1.0,3
488,slcp,6,CNRE,2,10.0,2
489,slcp,6,CNRE,2,10.0,3
490,slcp,6,CNRE,2,100.0,2
491,slcp,6,CNRE,2,100.0,3
492,slcp,6,CNRE,10,0.001,2
493,slcp,6,CNRE,10,0.001,3
494,slcp,6,CNRE,10,0.01,2
495,slcp,6,CNRE,10,0.01,3
496,slcp,6,CNRE,10,0.1,2
497,slcp,6,CNRE,10,0.1,3
498,slcp,6,CNRE,10,1.0,2
499,slcp,6,CNRE,10,1.0,3
500,slcp,6,CNRE,10,10.0,2
501,slcp,6,CNRE,10,10.0,3
502,slcp,6,CNRE,10,100.0,2
503,slcp,6,CNRE,10,100.0,3
504,slcp,6,CNRE,25,0.001,2
505,slcp,6,CNRE,25,0.001,3
506,slcp,6,CNRE,25,0.01,2
507,slcp,6,CNRE,25,0.01,3
508,slcp,6,CNRE,25,0.1,2
509,slcp,6,CNRE,25,0.1,3
510,slcp,6,CNRE,25,1.0,2
511,slcp,6,CNRE,25,1.0,3
512,slcp,6,CNRE,25,10.0,2
513,slcp,6,CNRE,25,10.0,3
514,slcp,6,CNRE,25,100.0,2
515,slcp,6,CNRE,25,100.0,3
516,slcp,6,CNRE,50,0.001,2
517,slcp,6,CNRE,50,0.001,3
518,slcp,6,CNRE,50,0.01,2
519,slcp,6,CNRE,50,0.01,3
520,slcp,6,CNRE,50,0.1,2
521,slcp,6,CNRE,50,0.1,3
522,slcp,6,CNRE,50,1.0,2
523,slcp,6,CNRE,50,1.0,3
524,slcp,6,CNRE,50,10.0,2
525,slcp,6,CNRE,50,10.0,3
526,slcp,6,CNRE,50,100.0,2
527,slcp,6,CNRE,50,100.0,3
528,slcp,6,CNRE,75,0.001,2
529,slcp,6,CNRE,75,0.001,3
530,slcp,6,CNRE,75,0.01,2
531,slcp,6,CNRE,75,0.01,3
532,slcp,6,CNRE,75,0.1,2
533,slcp,6,CNRE,75,0.1,3
534,slcp,6,CNRE,75,1.0,2
535,slcp,6,CNRE,75,1.0,3
536,slcp,6,CNRE,75,10.0,2
537,slcp,6,CNRE,75,10.0,3
538,slcp,6,CNRE,75,100.0,2
539,slcp,6,CNRE,75,100.0,3
540,slcp,6,CNRE,100,0.001,2
541,slcp,6,CNRE,100,0.001,3
542,slcp,6,CNRE,100,0.01,2
543,slcp,6,CNRE,100,0.01,3
544,slcp,6,CNRE,100,0.1,2
545,slcp,6,CNRE,100,0.1,3
546,slcp,6,CNRE,100,1.0,2
547,slcp,6,CNRE,100,1.0,3
548,slcp,6,CNRE,100,10.0,2
549,slcp,6,CNRE,100,10.0,3
550,slcp,6,CNRE,100,100.0,2
551,slcp,6,CNRE,100,100.0,3
552,slcp,6,CNRE,150,0.001,2
553,slcp,6,CNRE,150,0.001,3
554,slcp,6,CNRE,150,0.01,2
555,slcp,6,CNRE,150,0.01,3
556,slcp,6,CNRE,150,0.1,2
557,slcp,6,CNRE,150,0.1,3
558,slcp,6,CNRE,150,1.0,2
559,slcp,6,CNRE,150,1.0,3
560,slcp,6,CNRE,150,10.0,2
561,slcp,6,CNRE,150,10.0,3
562,slcp,6,CNRE,150,100.0,2
563,slcp,6,CNRE,150,100.0,3
564,slcp,6,CNRE,200,0.001,2
565,slcp,6,CNRE,200,0.001,3
566,slcp,6,CNRE,200,0.01,2
567,slcp,6,CNRE,200,0.01,3
568,slcp,6,CNRE,200,0.1,2
569,slcp,6,CNRE,200,0.1,3
570,slcp,6,CNRE,200,1.0,2
571,slcp,6,CNRE,200,1.0,3
572,slcp,6,CNRE,200,10.0,2
573,slcp,6,CNRE,200,10.0,3
574,slcp,6,CNRE,200,100.0,2
575,slcp,6,CNRE,200,100.0,3
576,slcp,7,CNRE,2,0.001,2
577,slcp,7,CNRE,2,0.001,3
578,slcp,7,CNRE,2,0.01,2
579,slcp,7,CNRE,2,0.01,3
580,slcp,7,CNRE,2,0.1,2
581,slcp,7,CNRE,2,0.1,3
582,slcp,7,CNRE,2,1.0,2
583,slcp,7,CNRE,2,1.0,3
584,slcp,7,CNRE,2,10.0,2
585,slcp,7,CNRE,2,10.0,3
586,slcp,7,CNRE,2,100.0,2
587,slcp,7,CNRE,2,100.0,3
588,slcp,7,CNRE,10,0.001,2
589,slcp,7,CNRE,10,0.001,3
590,slcp,7,CNRE,10,0.01,2
591,slcp,7,CNRE,10,0.01,3
592,slcp,7,CNRE,10,0.1,2
593,slcp,7,CNRE,10,0.1,3
594,slcp,7,CNRE,10,1.0,2
595,slcp,7,CNRE,10,1.0,3
596,slcp,7,CNRE,10,10.0,2
597,slcp,7,CNRE,10,10.0,3
598,slcp,7,CNRE,10,100.0,2
599,slcp,7,CNRE,10,100.0,3
600,slcp,7,CNRE,25,0.001,2
601,slcp,7,CNRE,25,0.001,3
602,slcp,7,CNRE,25,0.01,2
603,slcp,7,CNRE,25,0.01,3
604,slcp,7,CNRE,25,0.1,2
605,slcp,7,CNRE,25,0.1,3
606,slcp,7,CNRE,25,1.0,2
607,slcp,7,CNRE,25,1.0,3
608,slcp,7,CNRE,25,10.0,2
609,slcp,7,CNRE,25,10.0,3
610,slcp,7,CNRE,25,100.0,2
611,slcp,7,CNRE,25,100.0,3
612,slcp,7,CNRE,50,0.001,2
613,slcp,7,CNRE,50,0.001,3
614,slcp,7,CNRE,50,0.01,2
615,slcp,7,CNRE,50,0.01,3
616,slcp,7,CNRE,50,0.1,2
617,slcp,7,CNRE,50,0.1,3
618,slcp,7,CNRE,50,1.0,2
619,slcp,7,CNRE,50,1.0,3
620,slcp,7,CNRE,50,10.0,2
621,slcp,7,CNRE,50,10.0,3
622,slcp,7,CNRE,50,100.0,2
623,slcp,7,CNRE,50,100.0,3
624,slcp,7,CNRE,75,0.001,2
625,slcp,7,CNRE,75,0.001,3
626,slcp,7,CNRE,75,0.01,2
627,slcp,7,CNRE,75,0.01,3
628,slcp,7,CNRE,75,0.1,2
629,slcp,7,CNRE,75,0.1,3
630,slcp,7,CNRE,75,1.0,2
631,slcp,7,CNRE,75,1.0,3
632,slcp,7,CNRE,75,10.0,2
633,slcp,7,CNRE,75,10.0,3
634,slcp,7,CNRE,75,100.0,2
635,slcp,7,CNRE,75,100.0,3
636,slcp,7,CNRE,100,0.001,2
637,slcp,7,CNRE,100,0.001,3
638,slcp,7,CNRE,100,0.01,2
639,slcp,7,CNRE,100,0.01,3
640,slcp,7,CNRE,100,0.1,2
641,slcp,7,CNRE,100,0.1,3
642,slcp,7,CNRE,100,1.0,2
643,slcp,7,CNRE,100,1.0,3
644,slcp,7,CNRE,100,10.0,2
645,slcp,7,CNRE,100,10.0,3
646,slcp,7,CNRE,100,100.0,2
647,slcp,7,CNRE,100,100.0,3
648,slcp,7,CNRE,150,0.001,2
649,slcp,7,CNRE,150,0.001,3
650,slcp,7,CNRE,150,0.01,2
651,slcp,7,CNRE,150,0.01,3
652,slcp,7,CNRE,150,0.1,2
653,slcp,7,CNRE,150,0.1,3
654,slcp,7,CNRE,150,1.0,2
655,slcp,7,CNRE,150,1.0,3
656,slcp,7,CNRE,150,10.0,2
657,slcp,7,CNRE,150,10.0,3
658,slcp,7,CNRE,150,100.0,2
659,slcp,7,CNRE,150,100.0,3
660,slcp,7,CNRE,200,0.001,2
