,task,seed,algorithm,K,num_atoms,num_contrastive_parameters,gamma,extra_theta_factor,reuse,hidden_features,num_blocks,AVG_LOG_RATIO,RT,C2ST_Z-01,MMD-01,MEDDIST-01,NLTP-01,C2ST_Z-02,MMD-02,MEDDIST-02,NLTP-02,C2ST_Z-03,MMD-03,MEDDIST-03,NLTP-03,C2ST_Z-04,MMD-04,MEDDIST-04,NLTP-04,C2ST_Z-05,MMD-05,MEDDIST-05,NLTP-05,C2ST_Z-06,MMD-06,MEDDIST-06,NLTP-06,C2ST_Z-07,MMD-07,MEDDIST-07,NLTP-07,C2ST_Z-08,MMD-08,MEDDIST-08,NLTP-08,C2ST_Z-09,MMD-09,MEDDIST-09,NLTP-09,C2ST_Z-10,MMD-10,MEDDIST-10,NLTP-10,NLTP,num_simulations_simulator,path,folder
25,slcp,2998646063,CNRE,74,74,75,0.1,0,False,128,3,8.355825,18.612481689453126,0.92365,0.100696206,19.45866,,0.8741,0.025824785,23.258224,,0.8118,0.037504673,24.675627,,0.926,0.038535595,3.696765,,0.83415,0.018660426,24.693707,,0.82665,0.06528795,12.915682,,0.9659,0.08767605,29.887026,,0.9573,0.23020625,23.942207,,0.82145,0.040968895,9.676743,,0.90935,0.11872363,2.1183262,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/27,27
26,slcp,3908772357,CNRE,74,74,75,0.001,0,False,128,3,9.058265,19.05903523763021,0.89255,0.05018747,20.21992,,0.87365,0.044266462,23.03933,,0.7496,0.004797697,26.481457,,0.89065,0.031621337,3.2380533,,0.7867,0.017128468,23.894987,,0.7158,0.012527347,10.585943,,0.94275,0.053622723,29.332874,,0.9031,0.013278723,24.76522,,0.7754,0.007858276,9.962706,,0.8223,0.034279585,1.9566834,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/29,29
27,slcp,2679789082,CNRE,1,1,2,0.1,0,False,128,3,4.66833,558.5729817708333,0.8949,0.02381587,19.963352,,0.79925,0.021889567,22.594212,,0.73485,0.015883923,26.95696,,0.9126,0.047813177,3.2767434,,0.7618,0.0047564507,22.997826,,0.75455,0.0065357685,11.12837,,0.95005,0.05793965,29.955364,,0.99125,0.2332983,26.46526,,0.7914,0.017523646,10.5913315,,0.90265,0.08840048,1.6555694,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/3,3
28,slcp,3045823777,CNRE,99,99,100,0.01,0,False,128,3,8.94366,22.359611002604165,0.88705,0.010105252,18.937435,,0.85955,0.0869838,23.225517,,0.8648,0.05679822,25.329449,,0.92465,0.1681124,3.328426,,0.7735,0.07395089,23.91165,,0.80305,0.010349393,12.024431,,0.9686,0.060043335,30.034206,,0.91155,0.023610592,24.155163,,0.8298,0.029641509,10.69014,,0.85665,0.02519381,1.8736684,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/34,34
29,slcp,1815579060,CNRE,149,149,150,10.0,0,False,128,3,13.752085,28.809281412760416,0.9536,0.13057673,19.285542,,0.8883,0.09065366,24.093,,0.92905,0.07478428,23.974533,,0.9326,0.07531297,3.721524,,0.791,0.04401958,23.657406,,0.8066,0.033076882,11.865015,,0.9616,0.09830463,30.313309,,0.93975,0.039128542,25.05191,,0.83105,0.025642753,9.891043,,0.9166,0.060535073,1.562077,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/37,37
30,slcp,966712317,CNRE,9,9,10,1.0,0,False,128,3,7.1923685,385.7548828125,0.9162,0.030030608,19.836386,,0.8607,0.023249507,22.354069,,0.7633,0.028158188,25.9725,,0.9352,0.085288286,3.2956476,,0.7351,0.0067602396,24.20768,,0.7665,0.007258773,11.35309,,0.9472,0.02530551,29.980778,,0.9343,0.047521234,24.795189,,0.83115,0.01584673,9.930624,,0.98265,0.38220695,11.051058,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/8,8
31,slcp,2956561948,CNRE,24,24,25,100.0,0,False,128,3,10.072809,15.311575317382813,0.86045,0.007984281,19.638618,,0.81325,0.0138190985,22.440193,,0.79955,0.065437436,26.040144,,0.9229,0.10839176,3.9958506,,0.8365,0.11348057,25.645443,,0.78235,0.008938551,10.873213,,0.958,0.08615339,29.424091,,0.93385,0.057372928,25.088741,,0.82965,0.01754427,9.386606,,0.8725,0.08719897,1.996938,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/12,12
32,slcp,2023974898,CNRE,24,24,25,1.0,0,False,128,3,7.790236,12.693759155273437,0.9106,0.020979524,19.827602,,0.89335,0.10366714,22.53003,,0.8723,0.024106503,27.156006,,0.9442,0.12705112,3.211721,,0.78195,0.009299278,24.476479,,0.8171,0.040373325,11.591465,,0.95455,0.06561077,29.818993,,0.93155,0.124254465,24.379576,,0.83945,0.07079673,10.271063,,0.9108,0.10034937,2.1195507,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/14,14
33,slcp,2543334802,CNRE,74,74,75,1.0,0,False,128,3,9.336608,22.443086751302083,0.913,0.16342187,19.27641,,0.87175,0.028374672,22.57334,,0.83475,0.037133694,25.335278,,0.94025,0.045692205,2.3609767,,0.82635,0.04240036,23.230843,,0.8379,0.03140354,10.650549,,0.96465,0.17912602,29.25585,,0.94985,0.06629336,24.639992,,0.81015,0.04114318,9.754928,,0.9318,0.09993327,1.8310992,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/26,26
34,slcp,3684237562,CNRE,74,74,75,10.0,0,False,128,3,10.447689,20.3216064453125,0.90145,0.100013256,19.592976,,0.87765,0.08327329,23.581951,,0.9216,0.14584756,27.093952,,0.9275,0.038913965,3.6737292,,0.9575,0.16476393,22.426193,,0.8313,0.084483266,10.846502,,0.97295,0.27206945,30.236069,,0.929,0.19876993,25.87026,,0.8684,0.014690876,8.428557,,0.94415,0.078291774,1.6484833,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/25,25
35,slcp,935739244,CNRE,149,149,150,0.01,0,False,128,3,9.346329,28.531856282552084,0.88155,0.015586972,19.452213,,0.86375,0.110066056,22.862593,,0.82375,0.049177527,28.032383,,0.93435,0.06358385,3.0106173,,0.88205,0.21534956,27.94373,,0.82845,0.073400855,11.545927,,0.94545,0.015284777,29.316967,,0.92935,0.02257979,23.747765,,0.80675,0.029309034,10.263653,,0.87205,0.079056144,2.7060132,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/40,40
36,slcp,2693845320,CNRE,149,149,150,100.0,0,False,128,3,12.415995,28.15107421875,0.92995,0.16287267,20.276802,,0.88835,0.07820153,22.774885,,0.84295,0.036824226,27.620209,,0.932,0.08148521,3.6317463,,0.8024,0.025296807,24.10297,,0.77275,0.013423204,10.592937,,0.9695,0.18250227,29.7953,,0.9476,0.18643701,26.564732,,0.79855,0.030454159,10.019452,,0.8607,0.05849719,1.9726242,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/36,36
37,slcp,1786078385,CNRE,9,9,10,100.0,0,False,128,3,8.425632,14.874034627278645,0.9352,0.02515173,19.97869,,0.8262,0.031823277,21.937008,,0.93125,0.04790783,25.550785,,0.92635,0.07152772,3.210441,,0.8314,0.055312157,22.535221,,0.75095,0.0024821758,10.656469,,0.96215,0.034026027,28.361555,,0.92315,0.05859554,25.047272,,0.79495,0.015113115,9.326065,,0.89215,0.12575108,1.8009739,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/6,6
38,slcp,361463840,CNRE,99,99,100,100.0,0,False,128,3,12.544529,20.982039388020834,0.93005,0.055656433,20.59254,,0.8704,0.054657817,21.339931,,0.8278,0.10389531,28.149899,,0.931,0.10176706,2.9154587,,0.7804,0.02812326,23.484547,,0.7698,0.015879035,10.551114,,0.97315,0.14437973,29.913391,,0.9263,0.11629796,24.85469,,0.8223,0.020395994,11.254852,,0.9277,0.04126656,1.5101501,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/30,30
39,slcp,338000707,CNRE,99,99,100,10.0,0,False,128,3,11.197926,22.966632080078124,0.93015,0.10083735,20.39357,,0.87305,0.14271176,22.94616,,0.842,0.07087839,27.575619,,0.9393,0.06261945,3.1226046,,0.79115,0.09163296,24.593876,,0.78785,0.04545951,10.8345,,0.9492,0.029903412,29.519709,,0.93835,0.12729907,24.611584,,0.83265,0.035023212,9.585587,,0.91615,0.081958234,1.6389928,,,22528.0,/home/ben/sci/cnre/infinite/mi/18-18-10/31,31
