,task,seed,algorithm,K,num_atoms,num_contrastive_parameters,gamma,extra_theta_factor,hidden_features,num_blocks,AVG_LOG_RATIO,RT,C2ST_Z-01,MMD-01,MEDDIST-01,NLTP-01,C2ST_Z-02,MMD-02,MEDDIST-02,NLTP-02,C2ST_Z-03,MMD-03,MEDDIST-03,NLTP-03,C2ST_Z-04,MMD-04,MEDDIST-04,NLTP-04,C2ST_Z-05,MMD-05,MEDDIST-05,NLTP-05,C2ST_Z-06,MMD-06,MEDDIST-06,NLTP-06,C2ST_Z-07,MMD-07,MEDDIST-07,NLTP-07,C2ST_Z-08,MMD-08,MEDDIST-08,NLTP-08,C2ST_Z-09,MMD-09,MEDDIST-09,NLTP-09,C2ST_Z-10,MMD-10,MEDDIST-10,NLTP-10,NLTP,num_simulations_simulator,path,folder,reuse
30,slcp,2315727787,CNRE,9,9,10,0.001,0,128,3,6.9575853,24.410343424479166,0.87935,0.036120653,20.28065,,0.7379,0.00848794,22.255375,,0.75015,0.05633235,25.981585,,0.8974,0.03800249,3.4743938,,0.76405,0.020695806,23.140636,,0.70365,0.0039057732,11.12937,,0.9836,0.009124756,29.305939,,0.88325,0.032251954,24.26426,,0.7552,0.0053476095,9.2220545,,0.8258,0.051259875,1.830966,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/11,11,False
31,slcp,2456978800,CNRE,49,49,50,1.0,0,128,3,8.370003,36.55948486328125,0.9163,0.12850213,20.401741,,0.84785,0.1045109,22.698196,,0.9066,0.17474961,27.582327,,0.92975,0.10639751,3.1593666,,0.9144,0.15325904,23.911585,,0.82655,0.027602315,10.815293,,0.96515,0.19154787,29.35881,,0.94415,0.090504766,25.318142,,0.8181,0.03622806,8.688577,,0.90425,0.10161507,2.2255096,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/20,20,False
32,slcp,3560744280,CNRE,9,9,10,10.0,0,128,3,6.0869102,18.890443929036458,0.86675,0.055397987,19.638563,,0.87635,0.04815936,23.511692,,0.7779,0.021469831,26.645351,,0.92855,0.062014222,2.9498692,,0.85055,0.108914256,25.479351,,0.745,0.009967089,11.130686,,0.94045,0.074435234,29.137848,,0.91485,0.012230873,25.044735,,0.7588,0.010676503,10.206122,,0.8726,0.058062673,2.2632902,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/7,7,False
33,slcp,3718594985,CNRE,74,74,75,0.1,0,128,3,7.002631,34.56239013671875,0.9224,0.078202486,21.44167,,0.8801,0.0715462,22.88964,,0.81305,0.069688916,26.501617,,0.9214,0.059919477,3.3325014,,0.78035,0.013410091,24.985577,,0.80055,0.026876211,11.423373,,0.96375,0.05365324,30.172918,,0.93075,0.027419567,24.968819,,0.80175,0.034117818,10.231714,,0.919,0.0639323,1.6186222,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/27,27,False
34,slcp,2408373762,CNRE,74,74,75,0.001,0,128,3,8.537429,40.53890787760417,0.84075,0.019796252,19.904566,,0.8168,0.015588045,22.763315,,0.8312,0.05559349,27.973598,,0.89975,0.05475378,3.3360264,,0.8157,0.070863605,23.27925,,0.7559,0.005392432,11.067999,,0.96015,0.0063415766,29.39932,,0.895,0.0074505806,23.957138,,0.7842,0.013040662,9.287712,,0.8303,0.042983532,1.7676334,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/29,29,False
35,slcp,2552739505,CNRE,1,1,2,0.1,0,128,3,4.1831303,18.40750935872396,0.89865,0.023370743,19.644514,,0.8673,0.033319473,22.969273,,0.79745,0.012366891,26.32843,,0.9264,0.09819245,3.188814,,0.77165,0.017019153,23.62616,,0.80745,0.016050696,11.610156,,0.9675,0.10688412,29.391893,,0.9194,0.02943778,24.98349,,0.84895,0.027759314,9.753767,,0.8662,0.057709157,2.1280859,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/3,3,False
36,slcp,732671393,CNRE,99,99,100,0.01,0,128,3,8.004553,42.871602376302086,0.86275,0.010137677,20.083946,,0.9031,0.05652094,22.50745,,0.91405,0.09801376,26.03626,,0.93695,0.1973061,2.8240566,,0.757,0.040150523,23.862331,,0.79085,0.0092304945,10.703011,,0.9515,0.08783078,29.88832,,0.938,0.016680598,24.360981,,0.7775,0.011731863,10.14378,,0.80615,0.047392905,2.0244925,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/34,34,False
37,slcp,1408813599,CNRE,149,149,150,10.0,0,128,3,11.054564,106.61566569010417,0.9312,0.03890717,20.11597,,0.91625,0.09856844,22.260475,,0.9374,0.10394716,27.340916,,0.96835,0.2541697,3.4597309,,0.93105,0.1407553,22.082455,,0.8327,0.08945882,10.442035,,0.97745,0.20523131,29.747936,,0.96115,0.13117087,23.936834,,0.9053,0.14351034,11.407343,,0.8524,0.05697775,1.8792837,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/37,37,False
38,slcp,3088149063,CNRE,9,9,10,1.0,0,128,3,7.261199,17.34920450846354,0.8887,0.018334746,20.115154,,0.85215,0.04896605,22.881748,,0.77135,0.03571987,26.582375,,0.9275,0.046004534,3.6775749,,0.815,0.016866326,24.214626,,0.78975,0.005690813,11.186579,,0.9553,0.06884301,29.950043,,0.9118,0.077049136,24.408106,,0.7799,0.018471837,10.185598,,0.9121,0.05762458,1.835915,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/8,8,False
39,slcp,1432832933,CNRE,24,24,25,100.0,0,128,3,10.018224,30.606976318359376,0.9038,0.06675649,19.563196,,0.85785,0.11010897,22.866367,,0.87835,0.06553054,25.78924,,0.94555,0.15439284,2.8980136,,0.93335,0.28887832,26.643286,,0.81005,0.051090598,11.075214,,0.975,0.20892823,30.137503,,0.9427,0.01747489,24.673656,,0.8163,0.030184984,9.817694,,0.9022,0.026201844,1.4960678,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/12,12,False
40,slcp,94472999,CNRE,24,24,25,1.0,0,128,3,7.9937487,21.323834228515626,0.9186,0.059811592,19.595245,,0.90585,0.23689854,23.90136,,0.9238,0.09487736,26.214458,,0.93835,0.07541406,3.550476,,0.8254,0.09408736,24.922554,,0.8369,0.03899181,11.237337,,0.9622,0.067205906,29.421453,,0.94235,0.089404225,23.392735,,0.8106,0.02998972,10.111704,,0.87105,0.04722166,2.2631378,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/14,14,False
41,slcp,1902872504,CNRE,74,74,75,1.0,0,128,3,8.595077,46.44752604166667,0.93355,0.20627713,20.028088,,0.95435,0.34752804,27.10036,,0.9386,0.1305219,27.17942,,0.93145,0.08524907,3.4774466,,0.9256,0.157408,25.442257,,0.8201,0.10674691,11.907745,,0.95755,0.2324574,29.30884,,0.9527,0.14101672,24.443546,,0.8933,0.2102716,10.680065,,0.9247,0.10193992,1.7252592,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/26,26,False
42,slcp,260038234,CNRE,74,74,75,10.0,0,128,3,9.952419,63.04316813151042,0.90455,0.107642055,19.366152,,0.9108,0.0935123,22.914051,,0.9074,0.18074632,29.062454,,0.93385,0.1618852,3.493625,,0.8675,0.1375202,24.83532,,0.87145,0.060261607,10.6301,,0.94615,0.054366946,28.964462,,0.9643,0.04059863,24.121529,,0.8983,0.15682554,8.096251,,0.8696,0.0818038,2.122672,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/25,25,False
43,slcp,1109743726,CNRE,149,149,150,0.01,0,128,3,7.726842,57.2462158203125,0.87225,0.02515924,20.025322,,0.87805,0.084993005,22.508564,,0.7959,0.056188703,27.128105,,0.9243,0.15066296,3.0170689,,0.89135,0.08231342,23.51741,,0.81535,0.023239732,11.320002,,0.91185,0.14767611,28.997074,,0.92305,0.021502376,24.956245,,0.79,0.022181869,10.145244,,0.83075,0.033825755,1.7846886,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/40,40,False
44,slcp,235003520,CNRE,149,149,150,100.0,0,128,3,15.001744,150.38658854166667,0.9445,0.12929797,18.55598,,0.91655,0.13262606,24.323261,,0.92775,0.22679007,29.578262,,0.9512,0.19227749,3.1147141,,0.97805,0.38403773,27.32766,,0.88185,0.14223516,9.930582,,0.9748,0.04329133,29.267742,,0.98155,0.2821889,24.279427,,0.8994,0.09728992,8.265087,,0.81965,0.051481128,2.1695883,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/36,36,False
45,slcp,2846816527,CNRE,9,9,10,100.0,0,128,3,7.5574713,24.2884765625,0.89635,0.12120056,19.928547,,0.8355,0.07098341,22.495739,,0.84265,0.032141328,26.589725,,0.918,0.023938537,3.2301726,,0.88055,0.060479283,22.415478,,0.7799,0.028528094,9.762409,,0.9649,0.12664819,28.17721,,0.8943,0.032814145,25.004921,,0.7877,0.0500139,9.38673,,0.89285,0.07841909,1.7968886,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/6,6,False
46,slcp,2076342284,CNRE,99,99,100,100.0,0,128,3,12.422214,75.85277506510417,0.917,0.037902713,20.805706,,0.89615,0.19608736,21.748158,,0.86755,0.044683218,26.959852,,0.92615,0.07429242,3.489117,,0.95835,0.24222112,22.40039,,0.85685,0.028708577,10.415455,,0.96135,0.011690736,29.72588,,0.9676,0.14707565,24.331062,,0.8716,0.03153217,9.178492,,0.91015,0.08671522,1.842726,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/30,30,False
47,slcp,1629326621,CNRE,99,99,100,10.0,0,128,3,9.675289,115.5558349609375,0.93855,0.100746274,18.546295,,0.8917,0.1825428,23.322271,,0.87305,0.091747284,24.95129,,0.9212,0.04314649,3.2556357,,0.9276,0.08471298,23.343372,,0.9045,0.16514742,10.955221,,0.954,0.09122026,29.668762,,0.97635,0.2620784,24.35511,,0.8328,0.035322666,9.812176,,0.8435,0.027663112,1.8969891,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/31,31,False
48,slcp,2678994339,CNRE,49,49,50,10.0,0,128,3,9.370787,33.76442260742188,0.90175,0.042911053,19.370361,,0.84155,0.009544134,22.287489,,0.8763,0.14609802,27.099949,,0.9345,0.06325066,3.1828485,,0.8188,0.03230965,22.924593,,0.76605,0.047811627,10.862438,,0.97375,0.036245465,29.192389,,0.9266,0.016034126,24.339722,,0.8481,0.11790407,10.802658,,0.8465,0.028415442,1.9937,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/19,19,False
49,slcp,2546658963,CNRE,1,1,2,1.0,0,128,3,4.112331,15.779844156901042,0.9303,0.023728013,19.475834,,0.8827,0.046619654,23.377298,,0.8257,0.014721036,25.933891,,0.93685,0.084727705,3.958356,,0.9076,0.06362808,21.991936,,0.81735,0.009912491,11.689438,,0.96095,0.030869007,29.012672,,0.9339,0.038490772,24.323868,,0.87535,0.04144013,10.526322,,0.88985,0.13632393,2.4211254,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/2,2,False
50,slcp,4177060198,CNRE,149,149,150,1.0,0,128,3,8.967752,81.25987141927084,0.91585,0.06859863,19.72094,,0.8923,0.06493449,23.264435,,0.8735,0.065618396,25.077618,,0.9303,0.060819626,3.3160124,,0.91495,0.23057914,23.389362,,0.85745,0.048776746,10.832319,,0.97275,0.2007277,30.709183,,0.92845,0.11420846,23.656307,,0.8717,0.16091633,8.758195,,0.89795,0.116999984,1.9346054,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/38,38,False
51,slcp,2409548931,CNRE,149,149,150,0.001,0,128,3,9.258978,56.96041666666667,0.8509,0.02651465,19.480335,,0.79805,0.025412679,22.72268,,0.7844,0.0446254,27.044651,,0.90715,0.027329445,2.9311838,,0.7845,0.05305469,22.613136,,0.75455,0.025313854,12.361662,,0.89565,0.0065335035,28.780975,,0.8779,0.019404292,24.254341,,0.74515,0.011615276,10.3192005,,0.83245,0.02742374,1.7409797,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/41,41,False
52,slcp,2126225291,CNRE,199,199,200,0.1,0,128,3,8.089219,101.72999674479166,0.91225,0.11607742,18.18478,,0.8981,0.13359988,21.814543,,0.9444,0.137918,25.16735,,0.9224,0.045508385,3.2515926,,0.8922,0.20768082,26.972439,,0.8552,0.044588327,11.363672,,0.93605,0.09070516,28.507038,,0.95815,0.04210198,23.836887,,0.8488,0.08926165,9.539429,,0.9113,0.08666825,1.7253816,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/45,45,False
53,slcp,1486720656,CNRE,199,199,200,1.0,0,128,3,9.427692,94.29322102864583,0.91915,0.07923615,20.176165,,0.9685,0.32081282,20.57826,,0.9312,0.17643964,28.197453,,0.9476,0.0896337,2.7089324,,0.88165,0.11990988,23.672287,,0.82685,0.07652116,10.491814,,0.96365,0.19441319,29.084774,,0.917,0.07494342,23.976421,,0.88135,0.1453458,9.568927,,0.84355,0.07052618,2.2470644,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/44,44,False
54,slcp,2780561778,CNRE,199,199,200,10.0,0,128,3,11.685479,152.56181640625,0.95785,0.2095623,19.802322,,0.92535,0.26639724,22.055428,,0.9677,0.25503755,24.055065,,0.9318,0.061632395,3.3197663,,0.9676,0.13315308,21.630684,,0.93665,0.12774014,10.439373,,0.9701,0.1512686,29.750805,,0.94015,0.11623645,25.209404,,0.89085,0.14353096,8.9557,,0.8832,0.09445298,1.8887653,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/43,43,False
55,slcp,4230763880,CNRE,199,199,200,0.01,0,128,3,8.132143,78.59954427083333,0.90415,0.045028567,19.262249,,0.8908,0.1573776,24.906563,,0.91425,0.17653823,27.457489,,0.9172,0.033215165,3.1692052,,0.8236,0.049304843,24.19922,,0.8458,0.12153995,11.12085,,0.9743,0.1723789,30.120052,,0.9317,0.07013488,24.991688,,0.7897,0.028632164,10.671933,,0.8651,0.06328601,2.1976366,,,22528.0,/home/ben/sci/cnre/infinite/sameval/19-54-43/46,46,False
