,task,seed,algorithm,K,num_atoms,num_contrastive_parameters,gamma,extra_theta_factor,reuse,hidden_features,num_blocks,AVG_LOG_RATIO,RT,C2ST_Z-01,MMD-01,MEDDIST-01,NLTP-01,C2ST_Z-02,MMD-02,MEDDIST-02,NLTP-02,C2ST_Z-03,MMD-03,MEDDIST-03,NLTP-03,C2ST_Z-04,MMD-04,MEDDIST-04,NLTP-04,C2ST_Z-05,MMD-05,MEDDIST-05,NLTP-05,C2ST_Z-06,MMD-06,MEDDIST-06,NLTP-06,C2ST_Z-07,MMD-07,MEDDIST-07,NLTP-07,C2ST_Z-08,MMD-08,MEDDIST-08,NLTP-08,C2ST_Z-09,MMD-09,MEDDIST-09,NLTP-09,C2ST_Z-10,MMD-10,MEDDIST-10,NLTP-10,NLTP,num_simulations_simulator,path,folder
80,slcp,2483337992,CNRE,74,74,75,10.0,0,False,50,2,5.290186,20.17945760091146,0.8344,0.014519572,19.462265,,0.7415,0.007511735,22.30169,,0.76675,0.019345164,24.784538,,0.87985,0.03497863,3.3975177,,0.73465,0.008465648,24.400177,,0.7207,0.002792716,11.100562,,0.912,0.012597084,29.764023,,0.7844,0.0012761354,24.514032,,0.7536,0.0040148497,10.200748,,0.7951,0.021566153,2.0061522,,,21508096.0,/home/ben/sci/fix-cnre/infinite/joint/2024-06-26/07-25-58/73,73
81,slcp,4194858351,CNRE,24,24,25,0.01,0,False,50,2,4.92571,10.114162190755208,0.85355,0.022294164,19.20997,,0.7615,0.018177629,23.053316,,0.7721,0.007316828,26.904263,,0.91875,0.07856393,3.505745,,0.73195,0.006716132,23.87619,,0.76075,0.011520863,11.4120655,,0.93765,0.03673923,29.542065,,0.88355,0.008604646,24.20467,,0.7606,0.013441563,10.392345,,0.77575,0.02601552,2.2257218,,,21508096.0,/home/ben/sci/fix-cnre/infinite/joint/2024-06-26/07-25-58/64,64
82,gaussian_mixture,1373236892,CNRE,24,24,25,0.001,0,False,50,2,4.6777463,8.646075439453124,0.70785,0.025059044,0.85757256,,0.66065,0.0063824654,0.94026566,,0.6205,0.0019931793,1.0986147,,0.6515,0.004292369,1.1147077,,0.66185,0.012093782,0.92790496,,0.62195,0.0019606352,1.12212,,0.63365,0.005256057,0.7807723,,0.64985,0.010464191,1.1531715,,0.6235,0.003978491,1.1445975,,0.713,0.040158153,0.7909906,,,21508096.0,/home/ben/sci/fix-cnre/infinite/joint/2024-06-26/07-25-58/113,113
83,gaussian_mixture,491147586,CNRE,74,74,75,0.1,0,False,50,2,4.616089,13.95220235188802,0.6843,0.01563853,0.933059,,0.6481,0.004431963,0.86815536,,0.6253,0.0025053024,1.1923833,,0.6385,0.002553463,1.0313923,,0.67925,0.0028088093,1.2060027,,0.64,0.0075565577,0.7203293,,0.6536,0.010820746,1.0444413,,0.6284,0.004507661,1.0493424,,0.631,0.002276063,1.28532,,0.70115,0.017753303,0.69798803,,,21508096.0,/home/ben/sci/fix-cnre/infinite/joint/2024-06-26/07-25-58/123,123
84,gaussian_mixture,3347383518,CNRE,99,99,100,1.0,0,False,50,2,6.291069,16.879710896809897,0.71265,0.01992035,0.79953074,,0.71785,0.02759397,0.70584464,,0.6392,0.003623724,0.8654039,,0.66345,0.007366419,0.5387634,,0.67715,0.0055071115,1.0609932,,0.65115,0.0041811466,1.0025444,,0.6702,0.008086562,0.8705596,,0.67135,0.0044448376,0.5374266,,0.63645,0.003416419,0.7218493,,0.7123,0.018579721,0.8799454,,,21508096.0,/home/ben/sci/fix-cnre/infinite/joint/2024-06-26/07-25-58/128,128
85,gaussian_mixture,2764367129,CNRE,49,49,50,10.0,0,False,50,2,4.9181414,11.581772867838541,0.68305,0.027374387,1.0789768,,0.66625,0.003606081,0.8829515,,0.6084,0.00049209595,0.9712759,,0.63345,0.0010671616,0.71045434,,0.6591,0.0050178766,1.2487977,,0.62575,0.0016560555,1.0672455,,0.6576,0.0065778494,0.99093735,,0.6328,0.0057815313,1.1135597,,0.62495,0.004120469,0.83541596,,0.6945,0.026516795,0.98928463,,,21508096.0,/home/ben/sci/fix-cnre/infinite/joint/2024-06-26/07-25-58/115,115
86,two_moons,2969934313,CNRE,149,149,150,10.0,0,False,50,2,5.1826468,22.155153401692708,0.5266,4.839897e-05,0.09047043,,0.5473,0.0006122589,0.09201859,,0.52245,2.69413e-05,0.08931333,,0.52,0.0010871887,0.08999611,,0.5597,0.0004950762,0.09305823,,0.51315,7.748604e-06,0.08772324,,0.61575,0.0008137226,0.091395564,,0.5965,0.00029456615,0.09014584,,0.5238,2.9623508e-05,0.08974595,,0.57365,0.00044071674,0.09198044,,,21508096.0,/home/ben/sci/fix-cnre/infinite/joint/2024-06-26/07-25-58/37,37
87,slcp,56658796,CNRE,49,49,50,0.01,0,False,50,2,4.9495993,13.078468831380208,0.87315,0.024714231,20.06422,,0.8099,0.013212204,22.887989,,0.7474,0.009216785,26.030247,,0.9094,0.035364866,3.0167542,,0.79185,0.014745235,24.073788,,0.772,0.0092487335,11.758662,,0.90865,0.02371335,29.734707,,0.8895,0.003811121,24.633724,,0.79495,0.015607834,10.004732,,0.82395,0.025026798,1.7999251,,,21508096.0,/home/ben/sci/fix-cnre/infinite/joint/2024-06-26/07-25-58/70,70
88,two_moons,345030285,CNRE,9,9,10,1.0,0,False,50,2,5.058544,7.844024658203125,0.55225,0.0051681995,0.09175588,,0.5501,0.0027382374,0.0899706,,0.61265,0.00060868263,0.08881266,,0.5608,0.002813995,0.092062965,,0.6099,0.009324312,0.09322426,,0.58405,0.0008870363,0.09033969,,0.65615,0.0016828775,0.08867082,,0.64825,0.0014667511,0.09075842,,0.56865,0.0027355552,0.08981719,,0.64535,0.00060892105,0.09055891,,,21508096.0,/home/ben/sci/fix-cnre/infinite/joint/2024-06-26/07-25-58/8,8
89,slcp,2736084148,CNRE,24,24,25,10.0,0,False,50,2,5.1888857,14.92694803873698,0.7978,0.005044341,19.449053,,0.7918,0.017824888,22.551863,,0.7844,0.009949803,26.41268,,0.9055,0.048499346,3.5953724,,0.6906,0.0038596392,23.53929,,0.71465,0.0068022013,11.232638,,0.9144,0.0057803392,29.18967,,0.9057,0.0128548145,24.890862,,0.75455,0.014112353,10.096471,,0.85735,0.052377462,1.7279282,,,21508096.0,/home/ben/sci/fix-cnre/infinite/joint/2024-06-26/07-25-58/61,61
