,task,seed,algorithm,K,num_atoms,num_contrastive_parameters,gamma,extra_theta_factor,hidden_features,num_blocks,AVG_LOG_RATIO,RT,C2ST_Z-01,MMD-01,MEDDIST-01,NLTP-01,C2ST_Z-02,MMD-02,MEDDIST-02,NLTP-02,C2ST_Z-03,MMD-03,MEDDIST-03,NLTP-03,C2ST_Z-04,MMD-04,MEDDIST-04,NLTP-04,C2ST_Z-05,MMD-05,MEDDIST-05,NLTP-05,C2ST_Z-06,MMD-06,MEDDIST-06,NLTP-06,C2ST_Z-07,MMD-07,MEDDIST-07,NLTP-07,C2ST_Z-08,MMD-08,MEDDIST-08,NLTP-08,C2ST_Z-09,MMD-09,MEDDIST-09,NLTP-09,C2ST_Z-10,MMD-10,MEDDIST-10,NLTP-10,NLTP,num_simulations_simulator,path,folder,reuse
170,slcp,1745349091,CNRE,149,149,150,0.01,0,50,2,9.856412,27.81021931966146,0.84005,0.011633873,20.227291,,0.7857,0.018659472,23.04324,,0.70345,0.0035846233,26.42078,,0.91275,0.0953874,3.5883436,,0.8031,0.01455915,23.403454,,0.70665,0.005181551,11.05728,,0.9684,0.010500908,29.31912,,0.87745,0.005110264,24.262772,,0.74655,0.008403182,10.092858,,0.8,0.060068965,2.1362276,,,21508096.0,/home/ben/sci/cnre/infinite/joint/20-18-13/88,88,False
171,gaussian_mixture,82711196,CNRE,49,49,50,100.0,0,50,2,14.744656,9.554532877604167,0.77335,0.022313476,0.4937201,,0.7531,0.03073001,0.6591944,,0.7638,0.042096257,0.7958342,,0.72135,0.052718043,0.68821454,,0.7201,0.005007744,0.9581215,,0.70565,0.038797617,0.7387457,,0.784,0.061620712,0.9066316,,0.7358,0.05486965,1.1197352,,0.71235,0.025067925,0.81424904,,0.7252,0.01970613,0.828254,,,21508096.0,/home/ben/sci/cnre/infinite/joint/20-18-13/114,114,False
172,two_moons,3074226565,CNRE,149,149,150,1.0,0,50,2,10.043278,22.317388916015624,0.514,0.00035309792,0.08821939,,0.5057,0.00075781345,0.0874937,,0.54505,0.0006762743,0.09135364,,0.53445,0.0040436983,0.09032169,,0.52945,0.00015044212,0.09289648,,0.5652,0.0028108358,0.09029564,,0.6108,0.0014673471,0.09052799,,0.60205,0.0029993057,0.09237139,,0.5678,0.00042915344,0.08693294,,0.59265,0.008765101,0.09021534,,,21508096.0,/home/ben/sci/cnre/infinite/joint/20-18-13/38,38,False
173,two_moons,3598768578,CNRE,149,149,150,0.001,0,50,2,10.000392,22.3019775390625,0.6579,0.0022028685,0.08948125,,0.64645,0.00017464161,0.08992921,,0.60225,0.0008814335,0.09086166,,0.62555,0.0021359324,0.09060307,,0.67335,0.003948927,0.09243713,,0.59925,0.0006825924,0.09093432,,0.636,0.0023760796,0.09197368,,0.61735,0.0013092756,0.09080098,,0.54235,0.0038986802,0.08929779,,0.6353,0.0008068085,0.089466006,,,21508096.0,/home/ben/sci/cnre/infinite/joint/20-18-13/41,41,False
174,gaussian_mixture,2134044125,CNRE,24,24,25,10.0,0,50,2,7.59282,6.142550659179688,0.74755,0.06140566,0.9183888,,0.70175,0.015105486,1.0119863,,0.72015,0.025774598,1.0200572,,0.703,0.012138963,1.0599539,,0.72715,0.014297724,1.1386157,,0.6996,0.0047100782,1.1052787,,0.69585,0.0158993,0.93790483,,0.69295,0.013641357,1.1419363,,0.71745,0.02426231,1.1282564,,0.7353,0.046578467,0.9768805,,,21508096.0,/home/ben/sci/cnre/infinite/joint/20-18-13/109,109,False
175,two_moons,3168014909,CNRE,199,199,200,0.1,0,50,2,10.2189045,28.45815226236979,0.5362,0.00056910515,0.090022,,0.5543,3.6358833e-05,0.09246333,,0.58965,9.524822e-05,0.08946043,,0.5345,0.005121112,0.091419086,,0.6143,-3.0994415e-05,0.092814475,,0.52865,0.0003786087,0.09058654,,0.6172,0.0031119585,0.090085655,,0.6058,0.004540324,0.091875985,,0.5483,0.00068748,0.09146606,,0.5983,0.0011734962,0.088455126,,,21508096.0,/home/ben/sci/cnre/infinite/joint/20-18-13/45,45,False
176,two_moons,2011703162,CNRE,199,199,200,1.0,0,50,2,9.978617,28.284871419270832,0.50345,0.0004056692,0.08969265,,0.52845,0.0012667179,0.090157956,,0.5683,0.00091409683,0.08849792,,0.5135,0.00022047758,0.089220926,,0.539,0.0013487339,0.092468925,,0.5008,-4.36306e-05,0.08931098,,0.6129,0.000952363,0.09089095,,0.59605,0.000109791756,0.091591194,,0.5502,0.00028771162,0.09073417,,0.6065,0.002141118,0.091328695,,,21508096.0,/home/ben/sci/cnre/infinite/joint/20-18-13/44,44,False
177,slcp,2092786075,CNRE,24,24,25,0.001,0,50,2,7.6743608,8.338263448079427,0.8691,0.023727179,20.221622,,0.8072,0.022028923,23.025097,,0.7537,0.012868404,26.577576,,0.9097,0.09189272,3.4448574,,0.7831,0.010595322,23.421057,,0.7832,0.011214018,11.4443,,0.93825,0.04430008,29.556911,,0.90095,0.014508843,24.540577,,0.81415,0.012374043,9.823332,,0.7956,0.025943518,2.0232441,,,21508096.0,/home/ben/sci/cnre/infinite/joint/20-18-13/65,65,False
178,gaussian_mixture,3303841239,CNRE,1,1,2,100.0,0,50,2,5.337,5.267066446940104,0.8134,0.062234282,0.91843903,,0.78375,0.013180852,0.7365287,,0.76375,0.008195519,0.82605016,,0.80055,0.019272685,0.84143305,,0.7945,0.06964797,1.0194333,,0.7924,0.011405468,0.6667675,,0.79985,0.06102729,0.9271227,,0.80825,0.037088275,1.0826361,,0.75985,0.008194327,0.8629776,,0.7811,0.045363724,1.0727366,,,21508096.0,/home/ben/sci/cnre/infinite/joint/20-18-13/96,96,False
179,gaussian_mixture,4293633319,CNRE,74,74,75,0.001,0,50,2,9.048876,12.441097005208333,0.69945,0.01763767,1.0067811,,0.66185,0.0066432953,1.1521897,,0.6539,0.0053423643,0.8104402,,0.6512,0.0025937557,0.9475196,,0.6929,0.0075645447,0.754218,,0.6179,0.0007594824,0.8548417,,0.65155,0.0011166334,0.9232154,,0.645,0.003781557,0.8687055,,0.6282,0.0028014183,0.50154793,,0.7215,0.025264978,0.97237116,,,21508096.0,/home/ben/sci/cnre/infinite/joint/20-18-13/125,125,False
