,task,seed,algorithm,K,num_atoms,num_contrastive_parameters,gamma,extra_theta_factor,reuse,hidden_features,num_blocks,AVG_LOG_RATIO,RT,C2ST_Z-01,MMD-01,MEDDIST-01,NLTP-01,C2ST_Z-02,MMD-02,MEDDIST-02,NLTP-02,C2ST_Z-03,MMD-03,MEDDIST-03,NLTP-03,C2ST_Z-04,MMD-04,MEDDIST-04,NLTP-04,C2ST_Z-05,MMD-05,MEDDIST-05,NLTP-05,C2ST_Z-06,MMD-06,MEDDIST-06,NLTP-06,C2ST_Z-07,MMD-07,MEDDIST-07,NLTP-07,C2ST_Z-08,MMD-08,MEDDIST-08,NLTP-08,C2ST_Z-09,MMD-09,MEDDIST-09,NLTP-09,C2ST_Z-10,MMD-10,MEDDIST-10,NLTP-10,NLTP,num_simulations_simulator,path,folder
36,gaussian_mixture,3930320597,CNRE,74,74,75,1.0,0,False,128,3,8.42809,39.596598307291664,0.7729,0.17626631,1.4272742,,0.75145,0.11470914,1.3528076,,0.7383,0.08648425,1.3878288,,0.736,0.07662392,1.362426,,0.7559,0.13498425,1.3279481,,0.7319,0.06829941,1.4729533,,0.7446,0.118658364,1.4338876,,0.746,0.0921703,1.3679826,,0.73745,0.09791952,1.3953638,,0.76125,0.11656129,1.1086282,,,22528.0,/home/ben/sci/cnre/infinite/prior/17-13-30/122,122
37,two_moons,739032218,CNRE,24,24,25,0.001,0,False,128,3,8.134102,18.994622802734376,0.55265,0.0024431944,0.09076056,,0.5294,0.0024694204,0.09058276,,0.63145,0.0008341074,0.08956684,,0.6176,0.0050465465,0.08799863,,0.64365,0.00018429756,0.0875307,,0.6148,0.0015271902,0.088667646,,0.65405,0.0014071465,0.08935632,,0.645,0.0012135506,0.08779197,,0.5227,0.0032892823,0.09041713,,0.65265,0.001411438,0.090096794,,,22528.0,/home/ben/sci/cnre/infinite/prior/17-13-30/17,17
38,gaussian_mixture,860737779,CNRE,49,49,50,1.0,0,False,128,3,7.777007,29.071461995442707,0.77475,0.17476386,1.3127787,,0.75445,0.115529,1.295598,,0.739,0.10857916,1.5384462,,0.73595,0.09219068,1.4040468,,0.7517,0.14331412,1.3907368,,0.73515,0.08146489,1.3539144,,0.74185,0.09277862,1.375043,,0.74255,0.09210032,1.3592067,,0.7371,0.10398358,1.5044122,,0.77075,0.16788417,1.2095262,,,22528.0,/home/ben/sci/cnre/infinite/prior/17-13-30/116,116
39,two_moons,2011250733,CNRE,1,1,2,0.01,0,False,128,3,4.9443245,11.674289957682292,0.5865,0.010711789,0.09029102,,0.5638,0.014329433,0.09036438,,0.5854,0.0058711767,0.0893306,,0.60515,0.01795584,0.09004742,,0.5977,0.029028177,0.09300068,,0.60505,0.0067458153,0.09147194,,0.68875,0.002262354,0.09293391,,0.67355,0.005236268,0.09156121,,0.56205,0.013857305,0.09079008,,0.6086,0.009031653,0.08882485,,,22528.0,/home/ben/sci/cnre/infinite/prior/17-13-30/4,4
40,two_moons,1889604772,CNRE,1,1,2,100.0,0,False,128,3,4.255885,12.901462809244792,0.77205,0.040572762,0.084512584,,0.75095,0.052980423,0.08379392,,0.7825,0.0044505596,0.08261177,,0.7792,0.029514313,0.08253044,,0.81605,0.06668949,0.08546052,,0.80115,0.017765164,0.08183183,,0.8327,0.009680986,0.10007029,,0.80455,0.003093481,0.09047474,,0.7777,0.023146689,0.08413229,,0.8041,0.029662132,0.08633278,,,22528.0,/home/ben/sci/cnre/infinite/prior/17-13-30/0,0
41,two_moons,4215173495,CNRE,49,49,50,0.001,0,False,128,3,8.645357,29.700944010416666,0.55205,0.0031775236,0.09048362,,0.56265,0.0036267042,0.08971992,,0.6329,0.001531601,0.09049982,,0.58,0.0061932206,0.08977647,,0.65635,0.0043153763,0.093104355,,0.6079,0.0015420914,0.088111036,,0.6425,0.001483798,0.088542804,,0.63405,0.0025701523,0.0919372,,0.60105,0.002444744,0.0885496,,0.63055,0.0030516386,0.08885972,,,22528.0,/home/ben/sci/cnre/infinite/prior/17-13-30/23,23
42,slcp,1322953941,CNRE,99,99,100,10.0,0,False,128,3,11.402593,54.88417154947917,0.95385,0.070257306,19.743656,,0.8627,0.094295025,22.140823,,0.8394,0.047889113,24.546595,,0.93355,0.07811475,3.5558085,,0.85335,0.08571088,26.39428,,0.79695,0.028161287,11.251438,,0.95395,0.061572433,28.563236,,0.93205,0.18479538,24.525574,,0.8721,0.03398633,10.234314,,0.90525,0.05172491,1.8394406,,,22528.0,/home/ben/sci/cnre/infinite/prior/17-13-30/79,79
43,gaussian_mixture,461518668,CNRE,24,24,25,0.01,0,False,128,3,10.4897785,19.891666666666666,0.73085,0.055874467,0.46814278,,0.76575,0.062460184,0.3288527,,0.76215,0.074445724,0.33246303,,0.7236,0.06591189,0.37908006,,0.7452,0.056852937,0.83198214,,0.72455,0.068633676,0.6367428,,0.76405,0.062411427,0.4798911,,0.7408,0.06240821,0.4499737,,0.74515,0.071944,0.3223975,,0.80865,0.108955145,0.6265429,,,22528.0,/home/ben/sci/cnre/infinite/prior/17-13-30/112,112
44,slcp,657002178,CNRE,74,74,75,1.0,0,False,128,3,8.672193,42.20005696614583,0.91395,0.051188946,20.103233,,0.861,0.017005205,21.928303,,0.88645,0.025585532,25.910637,,0.93485,0.07749963,3.40788,,0.87645,0.19945514,24.55663,,0.81755,0.03871882,11.365749,,0.9749,0.14981663,29.88991,,0.9377,0.044142723,23.939968,,0.84615,0.041032553,9.305622,,0.8876,0.05443418,1.9730269,,,22528.0,/home/ben/sci/cnre/infinite/prior/17-13-30/74,74
45,gaussian_mixture,2138048087,CNRE,1,1,2,1.0,0,False,128,3,3.4003744,11.792270914713542,0.7766,0.21713257,1.3457096,,0.753,0.104257524,1.4809735,,0.7372,0.079290986,1.4047229,,0.7347,0.08088732,1.4062276,,0.74195,0.071751535,1.0457852,,0.73115,0.067327976,1.4108133,,0.7394,0.08695328,1.4704262,,0.7465,0.10510963,1.4020567,,0.7302,0.06884611,1.3085077,,0.77085,0.18808615,1.3435388,,,22528.0,/home/ben/sci/cnre/infinite/prior/17-13-30/98,98
