,task,seed,algorithm,K,num_atoms,num_contrastive_parameters,gamma,extra_theta_factor,reuse,hidden_features,num_blocks,AVG_LOG_RATIO,RT,C2ST_Z-01,MMD-01,MEDDIST-01,NLTP-01,C2ST_Z-02,MMD-02,MEDDIST-02,NLTP-02,C2ST_Z-03,MMD-03,MEDDIST-03,NLTP-03,C2ST_Z-04,MMD-04,MEDDIST-04,NLTP-04,C2ST_Z-05,MMD-05,MEDDIST-05,NLTP-05,C2ST_Z-06,MMD-06,MEDDIST-06,NLTP-06,C2ST_Z-07,MMD-07,MEDDIST-07,NLTP-07,C2ST_Z-08,MMD-08,MEDDIST-08,NLTP-08,C2ST_Z-09,MMD-09,MEDDIST-09,NLTP-09,C2ST_Z-10,MMD-10,MEDDIST-10,NLTP-10,NLTP,num_simulations_simulator,path,folder
54,slcp,3361405855,CNRE,99,99,100,1.0,0,False,128,3,10.182515,118.91050618489584,0.9536,0.09436262,19.27195,,0.92445,0.21455121,23.40561,,0.89445,0.016094923,26.956371,,0.95135,0.13320625,3.0253725,,0.90175,0.07433593,22.417824,,0.8648,0.031474352,11.501671,,0.9648,0.025985003,27.902779,,0.9428,0.06732142,24.902065,,0.90285,0.053812265,8.483759,,0.93295,0.11105597,1.9189209,,,10000.0,/home/ben/sci/cnre/infinite/sbibm/10-09-58/4,4
55,bernoulli_glm,3510081276,CNRE,99,99,100,1.0,0,False,128,3,11.162546,197.53455403645833,0.81885,0.08109665,12.490391,,0.7081,0.045345545,12.258167,,0.8198,0.1305123,13.602133,,0.85785,0.17583609,14.95875,,0.92055,0.20302564,22.050907,,0.74685,0.04650998,14.900454,,0.86915,0.18710136,16.917274,,0.81745,0.17587781,13.5665865,,0.82195,0.20545632,11.992416,,0.91835,0.22732598,18.746813,,,1000.0,/home/ben/sci/cnre/infinite/sbibm/10-09-58/0,0
56,bernoulli_glm_raw,3648196782,CNRE,99,99,100,1.0,0,False,128,3,13.444443,368.7460611979167,0.5852,0.015888333,3.6055512,,0.60025,0.013934851,4.472136,,0.66685,0.08258724,3.8729835,,0.5673,0.0214144,3.4641016,,0.6105,0.016209483,5.5677643,,0.59765,0.014372587,5.0,,0.59285,0.01907301,4.7958317,,0.596,0.027798772,3.7416575,,0.6527,0.043425918,3.3166249,,0.608,0.02005446,5.477226,,,100000.0,/home/ben/sci/cnre/infinite/sbibm/10-09-58/23,23
57,two_moons,591810070,CNRE,99,99,100,1.0,0,False,128,3,9.0926695,56.75721028645833,0.58305,0.0038573742,0.089791894,,0.58765,0.003830552,0.09219055,,0.5779,0.0065211058,0.09124993,,0.54445,0.00749743,0.08905749,,0.5975,0.008733392,0.09525876,,0.60055,0.02346909,0.089985535,,0.6008,0.0016063452,0.09075503,,0.58075,0.00061941147,0.0893859,,0.59265,0.026878715,0.09108037,,0.63405,0.011257172,0.09541242,,,10000.0,/home/ben/sci/cnre/infinite/sbibm/10-09-58/13,13
58,gaussian_linear,175750891,CNRE,99,99,100,1.0,0,False,128,3,12.720491,223.20792643229166,0.57545,0.009662271,1.4570657,,0.5782,0.015008688,1.4876702,,0.57625,0.013679981,1.4579321,,0.5723,0.0127283335,1.6177373,,0.54715,0.005794883,1.308307,,0.53275,0.0030398369,1.3134407,,0.54745,0.005728364,1.3382864,,0.57065,0.012268305,1.6064681,,0.544,0.004921198,1.4330692,,0.55235,0.0070488453,1.5331821,,,10000.0,/home/ben/sci/cnre/infinite/sbibm/10-09-58/16,16
59,gaussian_linear_uniform,359947948,CNRE,99,99,100,1.0,0,False,128,3,13.822828,366.55400390625,0.5382,0.0018833876,1.351762,,0.57005,0.007897735,1.4242935,,0.60315,0.02003479,1.5408938,,0.5505,0.0046947002,1.3309112,,0.55775,0.0063444376,1.276178,,0.5395,0.001583457,1.2806431,,0.54895,0.0036116838,1.3105961,,0.5522,0.0066348314,1.3654819,,0.56735,0.0061585903,1.2651676,,0.5583,0.006602168,1.36534,,,100000.0,/home/ben/sci/cnre/infinite/sbibm/10-09-58/11,11
60,gaussian_mixture,172476694,CNRE,99,99,100,1.0,0,False,128,3,7.8262553,56.91136474609375,0.77735,0.20307076,1.5011032,,0.7531,0.12950689,1.4035182,,0.74265,0.10324913,1.5595936,,0.74065,0.10902041,1.6021156,,0.75425,0.11253041,1.3751583,,0.7399,0.09053999,1.375628,,0.73815,0.07568902,1.258889,,0.74075,0.083559394,1.3839886,,0.74735,0.11807263,1.4243203,,0.77245,0.19652593,1.4834108,,,10000.0,/home/ben/sci/cnre/infinite/sbibm/10-09-58/7,7
61,slcp,3731688167,CNRE,99,99,100,1.0,0,False,128,3,9.90543,106.5547607421875,0.9819,0.22130275,20.8742,,0.9663,0.11318052,21.0334,,0.95245,0.07005608,25.462982,,0.9824,0.14242232,3.5618725,,0.96245,0.12105572,18.968964,,0.9654,0.058989644,11.078899,,0.98875,0.11238015,28.840729,,0.98865,0.13859773,22.548004,,0.96265,0.10027075,7.2354636,,0.94555,0.20852715,4.685477,,,1000.0,/home/ben/sci/cnre/infinite/sbibm/10-09-58/3,3
62,gaussian_mixture,4195164952,CNRE,99,99,100,1.0,0,False,128,3,12.28038,203.13372395833332,0.70565,0.08003378,0.31429523,,0.70405,0.071617365,0.9696195,,0.74405,0.07819748,0.3101163,,0.7382,0.07436228,0.32531172,,0.7145,0.0807637,0.30595994,,0.7245,0.074231625,0.30268502,,0.72015,0.076170444,0.3099457,,0.7336,0.07884812,0.9824945,,0.7507,0.07781482,0.26688322,,0.68475,0.06692457,0.22976233,,,100000.0,/home/ben/sci/cnre/infinite/sbibm/10-09-58/8,8
63,two_moons,2367480445,CNRE,99,99,100,1.0,0,False,128,3,10.669954,42.61254069010417,0.72355,0.0474025,0.08446342,,0.7029,2.8729439e-05,0.083548315,,0.72925,0.042707443,0.07866442,,0.76305,0.13933599,0.078139655,,0.75115,7.83205e-05,0.09137744,,0.73845,0.0006592274,0.08121975,,0.78395,0.05664766,0.08276129,,0.7559,0.028812885,0.083572015,,0.7784,0.11364865,0.07553321,,0.7899,0.022820711,0.0777316,,,1000.0,/home/ben/sci/cnre/infinite/sbibm/10-09-58/12,12
64,two_moons,1776217675,CNRE,99,99,100,1.0,0,False,128,3,9.970632,204.97459309895834,0.50495,0.00026774406,0.08977564,,0.5275,0.002262354,0.09096573,,0.564,0.01338315,0.09094629,,0.53675,0.0017188191,0.09069588,,0.5457,0.0073281527,0.09271757,,0.54515,0.003135085,0.09097924,,0.61435,0.0020862818,0.08964318,,0.59705,0.003678441,0.09237451,,0.5266,0.00047528744,0.091777876,,0.58755,0.0155341625,0.090054795,,,100000.0,/home/ben/sci/cnre/infinite/sbibm/10-09-58/14,14
