,task,seed,algorithm,K,num_atoms,num_contrastive_parameters,gamma,extra_theta_factor,hidden_features,num_blocks,AVG_LOG_RATIO,RT,C2ST_Z-01,MMD-01,MEDDIST-01,NLTP-01,C2ST_Z-02,MMD-02,MEDDIST-02,NLTP-02,C2ST_Z-03,MMD-03,MEDDIST-03,NLTP-03,C2ST_Z-04,MMD-04,MEDDIST-04,NLTP-04,C2ST_Z-05,MMD-05,MEDDIST-05,NLTP-05,C2ST_Z-06,MMD-06,MEDDIST-06,NLTP-06,C2ST_Z-07,MMD-07,MEDDIST-07,NLTP-07,C2ST_Z-08,MMD-08,MEDDIST-08,NLTP-08,C2ST_Z-09,MMD-09,MEDDIST-09,NLTP-09,C2ST_Z-10,MMD-10,MEDDIST-10,NLTP-10,NLTP,num_simulations_simulator,path,folder,reuse
16,slcp,419364009,CNRE,24,24,25,0.1,0,128,3,6.4596286,267.85439453125,0.89535,0.04852462,19.767166,,0.80095,0.014747262,23.388752,,0.7441,0.008490086,27.366432,,0.9359,0.05212581,3.5222754,,0.84855,0.103700995,26.772146,,0.7668,0.01173985,11.42252,,0.94395,0.029288888,29.951685,,0.9187,0.038687944,24.82297,,0.80825,0.022008419,10.607052,,0.88105,0.055970907,1.851265,,,22528.0,/home/ben/sci/cnre/infinite/mi-long/00-16-14/21,21,False
17,slcp,3066144591,CNRE,49,49,50,100.0,0,128,3,11.125318,393.18170572916665,0.9223,0.21238792,20.178284,,0.8453,0.06329906,21.964563,,0.90775,0.06099832,27.773867,,0.9473,0.25606018,3.0176377,,0.98265,0.31642735,25.19791,,0.8555,0.16468608,10.939796,,0.94925,0.064370036,29.421436,,0.9491,0.06128609,25.144157,,0.8584,0.07347906,10.461253,,0.87915,0.10529387,2.2608094,,,22528.0,/home/ben/sci/cnre/infinite/mi-long/00-16-14/24,24,False
18,slcp,309291159,CNRE,9,9,10,0.001,0,128,3,6.6673746,210.86280924479166,0.85295,0.009197235,19.71951,,0.8068,0.02004838,22.618546,,0.70845,0.022339106,26.931442,,0.92455,0.03453982,3.0034153,,0.75575,0.051035523,23.619835,,0.71815,0.004978776,11.511182,,0.95905,0.023870826,29.613888,,0.9265,0.011110902,25.070383,,0.76265,0.010261893,9.796377,,0.92125,0.03527975,1.530283,,,22528.0,/home/ben/sci/cnre/infinite/mi-long/00-16-14/17,17,False
19,slcp,2033496133,CNRE,1,1,2,0.01,0,128,3,4.5313034,195.722900390625,0.8814,0.026192307,20.055275,,0.81395,0.03214848,23.14074,,0.7281,0.012422562,26.535446,,0.91935,0.09470332,3.4095185,,0.71885,0.011402488,24.473305,,0.7358,0.002082467,11.117644,,0.95165,0.032417297,29.787224,,0.92315,0.020859957,24.467352,,0.7534,0.007395506,10.11401,,0.901,0.05045986,1.7004943,,,22528.0,/home/ben/sci/cnre/infinite/mi-long/00-16-14/4,4,False
20,slcp,1784820856,CNRE,1,1,2,100.0,0,128,3,3.4874368,204.13429361979166,0.9571,0.053254724,18.93671,,0.9066,0.09188342,23.107832,,0.8085,0.015266895,26.687746,,0.9476,0.094390094,5.677396,,0.83275,0.025990605,24.219788,,0.86885,0.019506097,12.08897,,0.98395,0.14792001,29.516306,,0.9549,0.069337845,25.015762,,0.8614,0.03762412,10.7208,,0.9366,0.2751776,2.689546,,,22528.0,/home/ben/sci/cnre/infinite/mi-long/00-16-14/0,0,False
21,slcp,2383065368,CNRE,24,24,25,0.001,0,128,3,7.979676,274.59339192708336,0.82145,0.010622501,19.33495,,0.8037,0.013500333,22.207975,,0.7839,0.050309896,26.168087,,0.90645,0.028279781,3.2046106,,0.77155,0.047305107,23.464008,,0.74705,0.0075764656,11.665382,,0.9002,0.005486965,29.627453,,0.87215,0.0037201643,24.43974,,0.7046,0.0036779642,9.378807,,0.81205,0.059655905,2.2562814,,,22528.0,/home/ben/sci/cnre/infinite/mi-long/00-16-14/23,23,False
22,slcp,3091712618,CNRE,99,99,100,0.1,0,128,3,7.4617624,577.9986979166666,0.92345,0.055114627,19.916182,,0.82255,0.031775117,23.19075,,0.8448,0.05229342,25.993467,,0.93175,0.048359275,3.4842262,,0.8794,0.16481256,24.346468,,0.8252,0.00781703,11.629033,,0.9512,0.13007975,29.34771,,0.9157,0.13297188,23.925823,,0.8072,0.027140737,9.551241,,0.9021,0.07756162,2.0813637,,,22528.0,/home/ben/sci/cnre/infinite/mi-long/00-16-14/33,33,False
23,slcp,1095383829,CNRE,9,9,10,10.0,0,128,3,6.495792,210.66066080729166,0.914,0.051364303,20.293037,,0.8454,0.07455027,22.519913,,0.82495,0.051048517,26.23885,,0.92675,0.031567216,3.2109685,,0.82125,0.14000463,25.177624,,0.72255,0.038314223,11.297413,,0.9545,0.02069664,29.799366,,0.90595,0.047285914,24.034115,,0.79575,0.014629126,9.814346,,0.89035,0.11485714,1.8178194,,,22528.0,/home/ben/sci/cnre/infinite/mi-long/00-16-14/13,13,False
24,slcp,3304090838,CNRE,9,9,10,0.01,0,128,3,7.1452703,209.95,0.90505,0.009127855,19.437931,,0.7643,0.0068627596,22.664352,,0.78185,0.028360128,24.973206,,0.92495,0.138452,3.3387017,,0.8475,0.02841425,23.572025,,0.748,0.011214256,10.597855,,0.94275,0.06790948,29.327888,,0.89565,0.03226745,25.345081,,0.74395,0.003127098,9.646741,,0.7878,0.059264183,2.0696063,,,22528.0,/home/ben/sci/cnre/infinite/mi-long/00-16-14/16,16,False
25,slcp,402533009,CNRE,4,4,5,0.001,0,128,3,6.3231726,281.6466796875,0.8457,0.009751916,19.618277,,0.8305,0.053793788,22.996914,,0.7095,0.035586476,26.907307,,0.93405,0.076530814,3.3481534,,0.71895,0.022583842,24.066444,,0.7313,0.010005832,10.6862755,,0.94545,0.011227727,29.541323,,0.92065,0.005929947,24.121435,,0.7407,0.019803643,9.69322,,0.8817,0.054613948,2.0123904,,,22528.0,/home/ben/sci/cnre/infinite/mi-long/00-16-14/11,11,False
