,task,seed,algorithm,K,num_atoms,num_contrastive_parameters,gamma,extra_theta_factor,reuse,hidden_features,num_blocks,AVG_LOG_RATIO,RT,C2ST_Z-01,MMD-01,MEDDIST-01,NLTP-01,C2ST_Z-02,MMD-02,MEDDIST-02,NLTP-02,C2ST_Z-03,MMD-03,MEDDIST-03,NLTP-03,C2ST_Z-04,MMD-04,MEDDIST-04,NLTP-04,C2ST_Z-05,MMD-05,MEDDIST-05,NLTP-05,C2ST_Z-06,MMD-06,MEDDIST-06,NLTP-06,C2ST_Z-07,MMD-07,MEDDIST-07,NLTP-07,C2ST_Z-08,MMD-08,MEDDIST-08,NLTP-08,C2ST_Z-09,MMD-09,MEDDIST-09,NLTP-09,C2ST_Z-10,MMD-10,MEDDIST-10,NLTP-10,NLTP,num_simulations_simulator,path,folder
213,slcp,65799147,CNRE,24,24,25,0.01,0,False,128,3,5.014262,13.841154988606771,0.85495,0.014585495,19.541683,,0.8411,0.03273821,22.989857,,0.76655,0.011970758,26.412079,,0.91435,0.09481126,3.0988238,,0.74025,0.0067083836,25.038395,,0.6912,0.0038490295,11.172161,,0.9494,0.08061397,29.1876,,0.89565,0.03242159,25.327412,,0.74135,0.019024849,9.681104,,0.8474,0.04971373,1.6542792,,,22528.0,/home/ben/sci/fix-cnre/infinite/prior/2024-06-26/13-33-52/16,16
214,slcp,687250177,CNRE,9,9,10,0.001,0,False,128,3,5.1753654,15.606507364908854,0.83065,0.015438437,19.44836,,0.74665,0.010151029,22.712132,,0.75515,0.022610545,25.842512,,0.91265,0.03430891,2.9701493,,0.81715,0.027269602,23.630257,,0.6902,0.0024847984,11.395695,,0.9657,0.019177198,29.047718,,0.88205,0.016159177,24.484917,,0.7166,0.00392437,8.827577,,0.85205,0.079101324,1.8262935,,,22528.0,/home/ben/sci/fix-cnre/infinite/prior/2024-06-26/13-33-52/11,11
215,slcp,486678264,CNRE,49,49,50,1.0,0,False,128,3,3.9013798,15.171654256184896,0.8906,0.021767259,19.525597,,0.84735,0.0728209,22.576,,0.7788,0.03935063,25.814114,,0.9308,0.10600853,3.87906,,0.8036,0.06390536,22.75203,,0.7789,0.014945865,11.325119,,0.9616,0.030881047,29.49577,,0.89575,0.0073816776,24.488035,,0.81645,0.030126452,10.153486,,0.8752,0.056345403,2.0174537,,,22528.0,/home/ben/sci/fix-cnre/infinite/prior/2024-06-26/13-33-52/20,20
216,slcp,1938401598,CNRE,9,9,10,10.0,0,False,128,3,4.355951,12.319025675455729,0.9218,0.0664103,18.23968,,0.83695,0.03437555,22.917988,,0.7468,0.011031747,26.34051,,0.9397,0.08306062,3.1655903,,0.7613,0.038009644,25.207924,,0.7814,0.010018468,11.789327,,0.9488,0.04329741,29.581856,,0.9441,0.0722518,24.945644,,0.83685,0.014268041,9.831959,,0.8868,0.07677001,2.317789,,,22528.0,/home/ben/sci/fix-cnre/infinite/prior/2024-06-26/13-33-52/7,7
217,slcp,2391385942,CNRE,74,74,75,0.1,0,False,128,3,5.016446,17.73729044596354,0.86645,0.043349624,19.75671,,0.80125,0.03502941,22.980953,,0.7474,0.018392801,26.136469,,0.9142,0.15692902,3.3747551,,0.7757,0.030456543,24.100435,,0.7173,0.019569159,11.267197,,0.9563,0.017494202,29.321518,,0.8827,0.019958138,24.48776,,0.75985,0.025687099,10.372476,,0.818,0.020941854,1.8408668,,,22528.0,/home/ben/sci/fix-cnre/infinite/prior/2024-06-26/13-33-52/27,27
218,slcp,4153241458,CNRE,74,74,75,0.001,0,False,128,3,4.90814,17.88253377278646,0.86945,0.037228942,19.483704,,0.773,0.005591154,22.175295,,0.79145,0.012680173,27.178263,,0.9049,0.037747383,3.3156486,,0.7146,0.010608435,24.399801,,0.69345,0.004658699,10.481447,,0.9384,0.08852935,29.626513,,0.9332,0.025920272,24.75894,,0.7437,0.005828023,10.035476,,0.80045,0.053117216,2.0123615,,,22528.0,/home/ben/sci/fix-cnre/infinite/prior/2024-06-26/13-33-52/29,29
219,slcp,3014896313,CNRE,1,1,2,0.1,0,False,128,3,4.6667104,12.306580607096354,0.8888,0.009008527,19.512087,,0.876,0.039099574,23.163239,,0.7936,0.003642559,25.821362,,0.9294,0.057064474,3.571772,,0.82835,0.026026845,22.531025,,0.77205,0.0091074705,10.9961815,,0.9546,0.061401248,29.474339,,0.9088,0.014099956,24.756866,,0.82675,0.024895549,11.2758465,,0.82725,0.078345,2.4434738,,,22528.0,/home/ben/sci/fix-cnre/infinite/prior/2024-06-26/13-33-52/3,3
220,slcp,3473735387,CNRE,99,99,100,0.01,0,False,128,3,4.6939187,18.85014444986979,0.8682,0.03174901,19.857079,,0.7853,0.026742816,22.30105,,0.7136,0.026303053,25.772041,,0.9134,0.050649285,3.3241835,,0.7208,0.008895874,23.514389,,0.69685,0.0043461323,10.836489,,0.9383,0.06303167,29.50348,,0.90345,0.054861665,25.120045,,0.75575,0.011336207,10.179157,,0.8712,0.045083404,1.6817732,,,22528.0,/home/ben/sci/fix-cnre/infinite/prior/2024-06-26/13-33-52/34,34
221,slcp,3029032074,CNRE,149,149,150,10.0,0,False,128,3,4.5660458,22.608447265625,0.90375,0.055716276,20.004137,,0.87585,0.03246343,23.026081,,0.78895,0.029556513,27.838669,,0.9518,0.14999008,2.6086626,,0.86045,0.041739583,24.89479,,0.7761,0.009838462,10.307226,,0.9796,0.14191902,29.64668,,0.93655,0.05031395,25.067852,,0.7967,0.013065338,9.419561,,0.88945,0.039404154,1.9026089,,,22528.0,/home/ben/sci/fix-cnre/infinite/prior/2024-06-26/13-33-52/37,37
222,slcp,213154799,CNRE,9,9,10,1.0,0,False,128,3,4.6838512,11.856866455078125,0.91655,0.060809612,19.459995,,0.80195,0.0040658712,22.51648,,0.72715,0.032822132,26.577633,,0.9287,0.07292539,3.4317727,,0.7548,0.024561882,23.657291,,0.74535,0.002756834,10.856499,,0.95345,0.011501074,29.847866,,0.9448,0.07751465,25.238651,,0.8168,0.0370754,11.330848,,0.88585,0.03230846,1.8085961,,,22528.0,/home/ben/sci/fix-cnre/infinite/prior/2024-06-26/13-33-52/8,8
